<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWG,D,20071205,000000,36.285,38.098,35.377,35.468,5043,0
SWG,D,20071206,000000,36.875,36.875,35.423,36.557,1214,0
SWG,D,20071207,000000,36.601,36.601,36.285,36.593,791,0
SWG,D,20071210,000000,36.829,36.829,35.83,36.647,224,0
SWG,D,20071211,000000,36.783,38.098,36.783,38.098,298,0
SWG,D,20071212,000000,38.098,40.004,38.098,40.004,479,0
SWG,D,20071213,000000,41.364,41.364,41.364,41.364,26,0
SWG,D,20071214,000000,43.813,43.994,39.913,41.364,1509,0
SWG,D,20071217,000000,41.183,41.183,39.641,40.819,353,0
SWG,D,20071218,000000,40.819,40.819,40.819,40.819,10,0
SWG,D,20071219,000000,41.637,41.637,39.913,39.913,148,0
SWG,D,20071220,000000,39.641,39.641,38.371,38.461,1268,0
SWG,D,20071221,000000,38.143,40.004,38.143,40.004,143,0
SWG,D,20071227,000000,39.913,41.274,39.913,41.274,211,0
SWG,D,20071228,000000,41.637,41.637,41.637,41.637,1,0
SWG,D,20080102,000000,41.728,41.728,41.637,41.637,237,0
SWG,D,20080103,000000,40.819,40.819,39.913,40.819,518,0
SWG,D,20080107,000000,38.416,40.367,38.416,40.367,674,0
SWG,D,20080109,000000,39.368,39.459,39.006,39.459,1267,0
SWG,D,20080110,000000,39.459,39.459,39.459,39.459,783,0
SWG,D,20080111,000000,39.459,39.459,39.459,39.459,97,0
SWG,D,20080115,000000,38.552,39.459,38.552,38.552,124,0
SWG,D,20080116,000000,36.285,36.285,34.924,34.924,386,0
SWG,D,20080117,000000,36.285,36.285,34.47,34.47,255,0
SWG,D,20080118,000000,35.286,35.83,35.286,35.83,8732,0
SWG,D,20080121,000000,35.83,35.83,35.83,35.83,332,0
SWG,D,20080122,000000,35.377,35.377,35.377,35.377,1237,0
SWG,D,20080123,000000,35.377,37.191,35.377,37.191,5704,0
SWG,D,20080124,000000,38.098,38.552,36.738,37.646,7490,0
SWG,D,20080125,000000,37.191,37.646,37.191,37.646,2348,0
