<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAR,D,20130618,000000,8.7652,9.4634,8.5474,9.4025,488411,0
TAR,D,20130619,000000,9.4199,9.83,8.9837,9.0706,163093,0
TAR,D,20130620,000000,8.9745,9.1583,8.9572,9.0706,52637,0
TAR,D,20130621,000000,9.0706,9.542,9.0706,9.4721,34154,0
TAR,D,20130624,000000,9.4895,9.542,9.332,9.4199,49945,0
TAR,D,20130625,000000,9.332,9.3677,9.245,9.3677,19432,0
TAR,D,20130626,000000,9.245,9.332,9.0796,9.332,13765,0
TAR,D,20130627,000000,9.245,9.4103,9.245,9.332,27662,0
TAR,D,20130628,000000,9.4025,9.585,9.097,9.585,53642,0
TAR,D,20130701,000000,9.585,9.594,9.2624,9.332,4697,0
TAR,D,20130702,000000,9.245,9.4277,9.0706,9.4277,15818,0
TAR,D,20130704,000000,9.3146,9.3233,9.1317,9.1317,2588,0
TAR,D,20130705,000000,9.0878,9.1144,8.9837,9.1144,4690,0
TAR,D,20130708,000000,9.4199,9.4199,8.8182,9.0184,1801,0
TAR,D,20130709,000000,9.097,9.097,8.8182,8.9837,6300,0
TAR,D,20130710,000000,9.1491,9.332,9.1491,9.245,5563,0
TAR,D,20130711,000000,9.3068,10.231,9.245,10.205,33287,0
TAR,D,20130712,000000,10.161,10.283,10.031,10.205,14002,0
TAR,D,20130715,000000,10.814,10.814,10.484,10.614,20955,0
TAR,D,20130716,000000,10.623,10.623,10.467,10.554,5332,0
TAR,D,20130717,000000,10.467,10.554,10.292,10.292,3944,0
TAR,D,20130718,000000,10.073,10.073,9.899,9.978,6830,0
TAR,D,20130719,000000,9.943,10.239,9.943,10.239,2361,0
TAR,D,20130722,000000,10.239,11.25,10.239,11.095,69310,0
TAR,D,20130723,000000,11.155,11.861,11.155,11.47,53865,0
TAR,D,20130724,000000,11.47,11.67,11.47,11.661,8428,0
TAR,D,20130725,000000,11.565,12.097,11.565,12.097,36638,0
TAR,D,20130726,000000,12.167,12.211,11.077,12.211,34210,0
TAR,D,20130729,000000,12.211,12.211,12.036,12.114,15340,0
TAR,D,20130730,000000,12.194,12.201,12.123,12.123,4429,0
TAR,D,20130731,000000,12.211,12.298,11.819,11.949,23284,0
