<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLX,D,20001120,000000,15.878,15.928,14.285,14.479,124241,0
TLX,D,20001121,000000,14.479,14.479,14.138,14.43,14922,0
TLX,D,20001122,000000,14.236,14.236,13.996,14.187,7313,0
TLX,D,20001123,000000,14.093,14.093,13.801,13.801,10023,0
TLX,D,20001124,000000,13.996,14.187,13.9,14.187,8673,0
TLX,D,20001127,000000,14.236,14.236,13.996,14.138,10380,0
TLX,D,20001128,000000,13.9,13.9,13.66,13.85,6149,0
TLX,D,20001129,000000,13.66,13.66,13.367,13.367,2278,0
TLX,D,20001130,000000,13.03,13.03,11.729,12.45,16677,0
TLX,D,20001201,000000,12.212,12.883,12.212,12.45,3977,0
TLX,D,20001204,000000,12.549,12.549,12.065,12.162,25372,0
TLX,D,20001205,000000,12.304,12.5,12.261,12.5,17361,0
TLX,D,20001206,000000,12.836,13.513,12.836,13.417,10668,0
TLX,D,20001207,000000,13.178,13.513,13.03,13.513,4003,0
TLX,D,20001208,000000,13.317,13.611,13.03,13.367,2986,0
TLX,D,20001211,000000,13.222,13.611,13.222,13.466,3003,0
TLX,D,20001212,000000,13.27,13.466,13.03,13.466,1119,0
TLX,D,20001213,000000,13.03,13.27,13.03,13.08,4066,0
TLX,D,20001214,000000,13.03,13.27,13.03,13.27,2434,0
TLX,D,20001215,000000,13.317,13.317,13.03,13.03,1326,0
TLX,D,20001218,000000,12.836,12.836,12.304,12.304,661,0
TLX,D,20001219,000000,12.45,12.982,12.065,12.982,2068,0
TLX,D,20001220,000000,12.933,12.933,12.549,12.549,3171,0
TLX,D,20001221,000000,12.739,12.739,12.694,12.694,1036,0
TLX,D,20001222,000000,12.401,13.03,12.401,12.836,10711,0
TLX,D,20001227,000000,13.03,13.03,13.03,13.03,603,0
TLX,D,20001228,000000,13.03,13.03,12.596,13.03,2934,0
TLX,D,20001229,000000,12.787,12.933,12.787,12.933,2487,0
TLX,D,20010103,000000,12.065,12.549,12.065,12.162,1431,0
TLX,D,20010104,000000,12.549,12.549,12.304,12.304,2543,0
TLX,D,20010105,000000,12.304,12.304,12.114,12.304,2791,0
TLX,D,20010108,000000,11.582,12.017,11.582,11.968,2787,0
TLX,D,20010109,000000,11.63,11.968,11.63,11.968,1677,0
TLX,D,20010110,000000,12.065,12.065,11.582,11.582,2715,0
TLX,D,20010111,000000,11.63,11.63,11.246,11.582,2915,0
TLX,D,20010112,000000,11.582,11.582,11.295,11.295,3106,0
TLX,D,20010115,000000,11.099,11.099,9.847,10.426,3557,0
TLX,D,20010116,000000,10.134,10.232,9.7,10.232,20281,0
TLX,D,20010117,000000,10.134,11.68,10.134,11.582,6714,0
TLX,D,20010118,000000,11.68,12.261,11.387,12.017,9558,0
TLX,D,20010119,000000,12.065,12.065,11.919,12.065,3082,0
TLX,D,20010122,000000,12.017,12.017,11.68,11.919,2143,0
TLX,D,20010123,000000,11.582,11.729,11.387,11.387,2748,0
TLX,D,20010124,000000,11.436,11.919,11.436,11.871,172,0
TLX,D,20010125,000000,11.582,11.779,11.582,11.582,2293,0
TLX,D,20010126,000000,11.387,11.582,11.196,11.582,2159,0
TLX,D,20010129,000000,11.295,11.295,10.666,10.953,248,0
TLX,D,20010130,000000,11.099,11.484,10.906,10.906,2749,0
TLX,D,20010131,000000,11.052,11.387,11.052,11.387,2,0
TLX,D,20010201,000000,11.295,11.342,11.099,11.099,669,0
TLX,D,20010202,000000,11.099,11.342,11.099,11.196,608,0
TLX,D,20010205,000000,11.099,11.149,11.099,11.099,5637,0
TLX,D,20010206,000000,11.099,11.099,10.906,10.906,1514,0
TLX,D,20010207,000000,10.861,10.861,10.763,10.763,2813,0
TLX,D,20010208,000000,10.666,10.861,10.377,10.377,11964,0
TLX,D,20010209,000000,11.099,11.919,10.472,10.714,35886,0
TLX,D,20010212,000000,11.052,11.052,10.813,10.813,1888,0
TLX,D,20010213,000000,10.861,11.099,10.861,11.099,1193,0
TLX,D,20010214,000000,11.149,11.149,11.099,11.099,1452,0
TLX,D,20010215,000000,11.582,12.017,11.342,11.968,4937,0
TLX,D,20010216,000000,11.919,11.919,11.196,11.196,3023,0
TLX,D,20010219,000000,11.002,12.017,11.002,12.017,827,0
TLX,D,20010220,000000,11.582,11.729,11.582,11.63,1153,0
TLX,D,20010221,000000,11.779,11.779,10.763,10.861,2800,0
TLX,D,20010222,000000,10.861,10.906,10.861,10.906,695,0
TLX,D,20010223,000000,11.342,11.342,11.099,11.099,6751,0
