<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMR,D,20100212,000000,153.05,153.05,153.05,153.05,256,0
TMR,D,20100218,000000,152.26,152.26,152.26,152.26,174,0
TMR,D,20100219,000000,151.78,152.37,151.78,151.82,101,0
TMR,D,20100222,000000,151.06,151.06,150.9,150.9,154,0
TMR,D,20100223,000000,152.63,152.63,152.59,152.63,338,0
TMR,D,20100224,000000,152.75,152.75,151.97,151.97,143,0
TMR,D,20100225,000000,152.12,152.12,152.12,152.12,263,0
TMR,D,20100226,000000,150.53,150.91,150.53,150.91,128,0
TMR,D,20100301,000000,149.76,149.96,149.76,149.96,72,0
TMR,D,20100302,000000,149.57,149.57,149.57,149.57,174,0
TMR,D,20100303,000000,148.94,148.94,148.94,148.94,20,0
TMR,D,20100304,000000,148.66,148.66,148.66,148.66,77,0
TMR,D,20100305,000000,147.43,147.43,147.43,147.43,133,0
TMR,D,20100308,000000,147.03,147.03,147.03,147.03,72,0
TMR,D,20100309,000000,147.08,147.08,147.08,147.08,123,0
TMR,D,20100310,000000,150.13,150.13,150.13,150.13,51,0
TMR,D,20100311,000000,150.94,150.94,150.94,150.94,61,0
TMR,D,20100312,000000,150.34,150.34,150.34,150.34,20,0
TMR,D,20100315,000000,150.56,150.56,150.56,150.56,151,0
TMR,D,20100316,000000,149.84,149.84,149.84,149.84,172,0
TMR,D,20100317,000000,149.29,149.29,149.29,149.29,164,0
TMR,D,20100318,000000,149.8,149.8,149.8,149.8,118,0
TMR,D,20100319,000000,150.36,150.36,150.36,150.36,131,0
TMR,D,20100322,000000,150.45,150.45,150.07,150.07,159,0
TMR,D,20100323,000000,149.88,149.88,149.88,149.88,115,0
TMR,D,20100324,000000,149.9,149.9,149.9,149.9,82,0
TMR,D,20100325,000000,149.59,149.59,149.59,149.59,20,0
TMR,D,20100326,000000,150.55,150.55,150.55,150.55,10,0
TMR,D,20100329,000000,149.73,149.73,149.73,149.73,105,0
TMR,D,20100330,000000,149.23,149.23,149.23,149.23,190,0
TMR,D,20100331,000000,148.74,148.74,148.74,148.74,51,0
TMR,D,20100401,000000,149.33,149.33,149.33,149.33,82,0
TMR,D,20100407,000000,148.7,148.7,147.58,147.58,68,0
TMR,D,20100408,000000,149.48,149.48,149.48,149.48,92,0
TMR,D,20100409,000000,150.39,150.39,150.39,150.39,72,0
TMR,D,20100412,000000,150.15,150.15,150.15,150.15,102,0
TMR,D,20100413,000000,151.28,151.28,149.77,149.77,82,0
TMR,D,20100414,000000,149.3,149.3,149.3,149.3,51,0
TMR,D,20100415,000000,149.15,149.15,149.15,149.15,82,0
TMR,D,20100416,000000,151.36,151.36,151.36,151.36,92,0
TMR,D,20100419,000000,151.34,151.92,151.34,151.34,76,0
TMR,D,20100420,000000,150.6,151.73,150.6,151.73,69,0
TMR,D,20100421,000000,151.16,151.16,151.16,151.16,41,0
TMR,D,20100422,000000,152.81,152.81,151.86,151.86,140,0
TMR,D,20100423,000000,151.93,151.93,151.93,151.93,381,0
TMR,D,20100426,000000,150.48,150.48,150.48,150.48,31,0
TMR,D,20100427,000000,152.25,152.25,152.25,152.25,79,0
TMR,D,20100428,000000,152.25,152.25,152.25,152.25,56,0
TMR,D,20100429,000000,152.81,152.81,152.81,152.81,805,0
TMR,D,20100430,000000,153.22,153.41,153.22,153.41,1146,0
TMR,D,20100503,000000,153.65,153.65,153.65,153.65,51,0
TMR,D,20100504,000000,155.47,155.86,155.47,155.86,2469,0
TMR,D,20100505,000000,158.33,158.33,158.33,158.33,521,0
TMR,D,20100506,000000,161.82,162.44,160.81,161.82,963,0
TMR,D,20100507,000000,161.7,161.7,160.48,160.48,696,0
TMR,D,20100510,000000,156.86,156.86,156.47,156.86,606,0
TMR,D,20100511,000000,156.16,156.16,155.38,155.38,1477,0
TMR,D,20100512,000000,154.85,154.85,154.85,154.85,836,0
