<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNX,D,20121003,000000,72.69,73.99,72.46,73.88,563949,0
TNX,D,20121004,000000,74.29,76.78,74.21,76.78,1509158,0
TNX,D,20121005,000000,76.78,77.57,75.21,75.6,885769,0
TNX,D,20121008,000000,75.77,76.68,75.77,76.52,303017,0
TNX,D,20121009,000000,76.97,77.36,76.03,76.1,215962,0
TNX,D,20121010,000000,76.63,76.99,76.36,76.63,287998,0
TNX,D,20121011,000000,76.67,78.49,76.67,78.25,639024,0
TNX,D,20121012,000000,78.76,79.98,78.12,79.11,644226,0
TNX,D,20121015,000000,79.42,79.97,78.75,79.97,476641,0
TNX,D,20121016,000000,80.26,80.61,79.86,80.06,302999,0
TNX,D,20121017,000000,80.55,80.55,77.7,79.16,736853,0
TNX,D,20121018,000000,79.07,79.63,78.68,79.07,187681,0
TNX,D,20121019,000000,79.33,79.33,78.26,78.58,71520,0
TNX,D,20121022,000000,78.45,78.45,77.54,78.17,263792,0
TNX,D,20121023,000000,78.56,78.56,76,77.32,301461,0
TNX,D,20121024,000000,77.92,78.93,77.84,78.32,167986,0
TNX,D,20121025,000000,77.96,79.12,77.84,78.04,84561,0
TNX,D,20121026,000000,77.53,78.13,76.21,77.01,204182,0
TNX,D,20121029,000000,77.23,77.67,76.39,76.63,226707,0
TNX,D,20121030,000000,76.59,78.19,76.43,77.91,145072,0
TNX,D,20121031,000000,77.67,79.27,77.67,77.87,223360,0
TNX,D,20121101,000000,77.52,78,76.73,77.52,86425,0
TNX,D,20121102,000000,77.34,77.54,76.15,76.23,185583,0
TNX,D,20121105,000000,76.36,76.96,76.12,76.88,185643,0
TNX,D,20121106,000000,77.2,79.19,77.2,78.39,478266,0
TNX,D,20121107,000000,79.1,80.7,78.98,80.1,560489,0
TNX,D,20121108,000000,80.29,81.22,79.85,79.85,155634,0
TNX,D,20121109,000000,80.48,80.68,78.07,79.48,134036,0
TNX,D,20121112,000000,80.38,81.99,80.14,81.99,181543,0
TNX,D,20121113,000000,81.9,82.42,81.29,82.42,216420,0
TNX,D,20121114,000000,81.5,81.63,77.52,80.5,390476,0
TNX,D,20121115,000000,80.45,81.05,79.69,79.89,77653,0
TNX,D,20121116,000000,79.47,79.87,77.78,78.26,163949,0
TNX,D,20121119,000000,78.25,78.49,76.65,78.01,143205,0
TNX,D,20121120,000000,77.52,78.27,76.8,76.96,227765,0
TNX,D,20121121,000000,77.64,77.88,77.09,77.44,59826,0
TNX,D,20121122,000000,77.37,77.93,76.94,77.73,91218,0
TNX,D,20121123,000000,78.15,78.15,76.92,77.28,118211,0
TNX,D,20121126,000000,77.37,78.72,76.98,78.12,119351,0
TNX,D,20121127,000000,78.55,78.67,78.2,78.28,124927,0
TNX,D,20121128,000000,78.43,78.43,77.32,78.39,163433,0
TNX,D,20121129,000000,78.31,79.53,78.31,78.98,248240,0
TNX,D,20121130,000000,79.3,79.42,78.82,78.86,67816,0
TNX,D,20121203,000000,79.8,80.91,79.6,80.03,200186,0
TNX,D,20121204,000000,80.16,80.48,80,80.08,207010,0
TNX,D,20121205,000000,80.4,82.19,80.4,81.51,298389,0
TNX,D,20121206,000000,82.16,82.44,81.8,81.96,176823,0
TNX,D,20121207,000000,82.23,86.22,81.88,83.63,554239,0
TNX,D,20121210,000000,85.25,85.25,83.27,83.27,421552,0
TNX,D,20121211,000000,83.6,84.35,83.52,83.52,714178,0
TNX,D,20121212,000000,84.02,84.06,81.3,81.3,340055,0
TNX,D,20121213,000000,81.71,82.62,81.35,81.43,353312,0
TNX,D,20121214,000000,81.6,83.14,81.2,83.14,437840,0
TNX,D,20121217,000000,83.69,84.12,83.33,84.05,315060,0
TNX,D,20121218,000000,84.12,84.64,83.81,84.32,309767,0
TNX,D,20121219,000000,84.41,84.41,83.66,84.29,191210,0
TNX,D,20121220,000000,83.81,84.36,83.42,84.08,148551,0
TNX,D,20121221,000000,84.3,84.3,83.12,83.9,184317,0
TNX,D,20121227,000000,83.74,86.18,82.84,86.18,244560,0
TNX,D,20121228,000000,86.51,86.75,84.27,84.5,156416,0
TNX,D,20130102,000000,86.03,86.3,85.44,85.83,169128,0
TNX,D,20130103,000000,85.96,86.71,85.92,86.31,129536,0
TNX,D,20130104,000000,87.3,89.65,86.67,89.65,152712,0
TNX,D,20130107,000000,90.25,91.04,88.7,89.33,232266,0
TNX,D,20130108,000000,89.35,89.35,87.48,88.11,247364,0
TNX,D,20130109,000000,87.6,90.63,87.16,90.24,148664,0
TNX,D,20130110,000000,91.12,91.44,88.2,89.11,221141,0
TNX,D,20130111,000000,90.35,90.59,87.89,89.08,152047,0
TNX,D,20130114,000000,89.53,89.77,87.98,88.38,148989,0
TNX,D,20130115,000000,88.03,88.43,86.08,86.68,291796,0
TNX,D,20130116,000000,87.16,88.55,86.76,88.23,196653,0
TNX,D,20130117,000000,88.29,89.36,88.29,89.09,141499,0
TNX,D,20130118,000000,90.21,90.97,89.81,90.17,89463,0
TNX,D,20130121,000000,90.98,92.31,90.9,92.31,148864,0
TNX,D,20130122,000000,92.67,92.87,90.33,91.22,143235,0
TNX,D,20130123,000000,91.51,91.6,90.59,91.47,243769,0
TNX,D,20130124,000000,92,92.81,90.99,92.12,105927,0
TNX,D,20130125,000000,91.84,92.2,91.04,91.84,154174,0
TNX,D,20130128,000000,92.84,92.93,92.03,92.24,153806,0
TNX,D,20130129,000000,92.53,93.14,92.05,92.57,133754,0
TNX,D,20130130,000000,93.02,93.18,91.44,91.89,93577,0
TNX,D,20130131,000000,91.88,91.88,90.55,90.63,139396,0
TNX,D,20130201,000000,91.11,93.28,91.11,92.11,417521,0
TNX,D,20130204,000000,92.73,93.38,92.2,92.29,141985,0
TNX,D,20130205,000000,91.68,92.04,91.07,91.07,138312,0
TNX,D,20130206,000000,91.36,92.17,90.76,91,143912,0
TNX,D,20130207,000000,90.78,91.26,90.17,90.66,166187,0
TNX,D,20130208,000000,90.52,91.36,90.04,90.84,77844,0
TNX,D,20130211,000000,91.4,92.28,91.28,92,76192,0
TNX,D,20130212,000000,92.34,93.34,91.53,92.66,142849,0
TNX,D,20130213,000000,92.9,94.3,92.74,93.9,167424,0
TNX,D,20130214,000000,94.66,94.87,93.94,94.42,164209,0
TNX,D,20130215,000000,95.03,95.23,94.1,94.1,108172,0
TNX,D,20130218,000000,94.77,94.81,94.05,94.57,110477,0
TNX,D,20130219,000000,94.16,94.56,93.44,93.92,134451,0
TNX,D,20130220,000000,93.95,93.99,90.13,91.5,197461,0
TNX,D,20130221,000000,91.84,92.04,88.75,89.87,236850,0
