<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPE,D,20100630,000000,4.1504,4.1585,4.0511,4.0841,110496203,0
TPE,D,20100701,000000,4.0498,4.0984,4.0094,4.0822,23771324,0
TPE,D,20100702,000000,4.0902,4.1145,4.0822,4.0902,6473630,0
TPE,D,20100705,000000,4.0902,4.1065,4.0822,4.0822,5369253,0
TPE,D,20100706,000000,4.0902,4.1145,4.0902,4.0984,4900777,0
TPE,D,20100707,000000,4.0902,4.0984,4.074,4.0822,6544389,0
TPE,D,20100708,000000,4.0822,4.1225,4.0822,4.1225,10579291,0
TPE,D,20100709,000000,4.1225,4.1468,4.1225,4.1468,10750936,0
TPE,D,20100712,000000,4.1468,4.2035,4.1388,4.1954,29227667,0
TPE,D,20100713,000000,4.2035,4.2196,4.1388,4.1388,75198568,0
TPE,D,20100714,000000,4.1468,4.1549,4.0984,4.1145,8783041,0
TPE,D,20100715,000000,4.1145,4.1145,4.0984,4.1065,9597357,0
TPE,D,20100716,000000,4.1145,4.1388,4.0822,4.0984,10106615,0
TPE,D,20100719,000000,4.0902,4.1065,4.074,4.0984,3154512,0
TPE,D,20100720,000000,4.0902,4.0902,4.074,4.074,2895243,0
TPE,D,20100721,000000,4.074,4.0984,4.066,4.0902,4566270,0
TPE,D,20100722,000000,4.0822,4.1468,4.0822,4.1388,22643247,0
TPE,D,20100723,000000,4.1388,4.1468,4.1225,4.1468,6436199,0
TPE,D,20100726,000000,4.1307,4.1307,4.0902,4.1065,3536329,0
TPE,D,20100727,000000,4.1225,4.1388,4.1065,4.1388,6447704,0
TPE,D,20100728,000000,4.1145,4.1225,4.1065,4.1145,3038657,0
TPE,D,20100729,000000,4.1065,4.1388,4.1065,4.1388,2142862,0
TPE,D,20100730,000000,4.1225,4.1468,4.1065,4.1388,3696169,0
TPE,D,20100802,000000,4.1225,4.1468,4.1145,4.1388,2571961,0
TPE,D,20100803,000000,4.1307,4.1468,4.1225,4.1307,2859387,0
TPE,D,20100804,000000,4.1225,4.1307,4.1065,4.1307,3532270,0
TPE,D,20100805,000000,4.1145,4.1388,4.1145,4.1225,5278834,0
TPE,D,20100806,000000,4.1065,4.1388,4.1065,4.1307,3165988,0
TPE,D,20100809,000000,4.1145,4.1388,4.1065,4.1307,7140119,0
TPE,D,20100810,000000,4.1065,4.1388,4.1065,4.1307,6490067,0
TPE,D,20100811,000000,4.1145,4.1225,4.1065,4.1225,1605394,0
TPE,D,20100812,000000,4.1065,4.1468,4.0984,4.1468,2580595,0
TPE,D,20100813,000000,4.1225,4.1225,4.1065,4.1225,1524254,0
TPE,D,20100816,000000,4.1065,4.163,4.0984,4.163,5228673,0
TPE,D,20100817,000000,4.1549,4.1954,4.1225,4.1549,8093584,0
TPE,D,20100818,000000,4.1388,4.163,4.1225,4.163,2393845,0
TPE,D,20100819,000000,4.1388,4.1549,4.1307,4.1468,1315795,0
TPE,D,20100820,000000,4.1388,4.163,4.1388,4.1549,1727039,0
TPE,D,20100823,000000,4.1549,4.349,4.1468,4.3085,24983083,0
TPE,D,20100824,000000,4.3166,4.349,4.2763,4.3004,7682345,0
TPE,D,20100825,000000,4.2843,4.3004,4.2843,4.3004,2833138,0
TPE,D,20100826,000000,4.2924,4.3004,4.2276,4.2763,3909591,0
TPE,D,20100827,000000,4.2358,4.2924,4.2358,4.2843,3332364,0
TPE,D,20100830,000000,4.2843,4.3408,4.2843,4.3328,4922617,0
TPE,D,20100831,000000,4.3085,4.3408,4.2601,4.3408,3877103,0
TPE,D,20100901,000000,4.3085,4.3328,4.3085,4.3247,5520234,0
TPE,D,20100902,000000,4.3247,4.4056,4.3247,4.4056,13339842,0
TPE,D,20100903,000000,4.3974,4.4863,4.3813,4.4622,7214971,0
TPE,D,20100906,000000,4.4622,4.5915,4.446,4.5348,9028147,0
TPE,D,20100907,000000,4.5511,4.5833,4.4622,4.4783,2706986,0
TPE,D,20100908,000000,4.4622,4.5672,4.4622,4.5672,3465319,0
TPE,D,20100909,000000,4.5672,4.5672,4.5268,4.5268,3662413,0
TPE,D,20100910,000000,4.5268,4.5752,4.4944,4.4944,2141313,0
TPE,D,20100913,000000,4.5268,4.6319,4.5268,4.6239,5427437,0
TPE,D,20100914,000000,4.64,4.7693,4.6319,4.7693,11520865,0
TPE,D,20100915,000000,4.8098,4.9634,4.8017,4.8825,21482190,0
TPE,D,20100916,000000,4.8987,4.9875,4.8987,4.9634,10470939,0
TPE,D,20100917,000000,4.9715,4.9875,4.9148,4.9875,10964412,0
TPE,D,20100920,000000,5.0036,5.0117,4.9552,4.9715,5245831,0
TPE,D,20100921,000000,4.9715,4.9794,4.8582,4.8907,5103431,0
TPE,D,20100922,000000,4.8825,4.8907,4.7693,4.8178,10344322,0
TPE,D,20100923,000000,4.8017,4.8017,4.6966,4.7127,5512414,0
TPE,D,20100924,000000,4.6884,4.9148,4.6884,4.9148,6156058,0
TPE,D,20100927,000000,4.9309,4.9471,4.8907,4.9066,5389625,0
TPE,D,20100928,000000,4.8987,4.939,4.8178,4.9229,4281233,0
TPE,D,20100929,000000,4.9229,4.9552,4.8582,4.9229,2044680,0
TPE,D,20100930,000000,4.8907,4.939,4.8663,4.939,4487451,0
TPE,D,20101001,000000,4.9309,4.939,4.8987,4.9309,2947977,0
TPE,D,20101004,000000,4.9309,4.9715,4.8907,4.9715,3938708,0
TPE,D,20101005,000000,4.9552,4.9957,4.9309,4.9957,3082990,0
TPE,D,20101006,000000,4.9957,5.0036,4.9471,4.9634,3621144,0
TPE,D,20101007,000000,4.9309,4.9309,4.842,4.9148,7151181,0
TPE,D,20101008,000000,4.8825,4.9471,4.8825,4.8987,6910848,0
TPE,D,20101011,000000,4.8907,4.9229,4.8907,4.9229,1026882,0
TPE,D,20101012,000000,4.8987,4.9229,4.8987,4.9066,1499973,0
TPE,D,20101013,000000,4.9066,4.9552,4.8987,4.9471,2593328,0
TPE,D,20101014,000000,4.939,4.9552,4.9229,4.9471,2361078,0
TPE,D,20101015,000000,4.9309,4.9471,4.9066,4.9066,2357565,0
TPE,D,20101018,000000,4.8987,4.9471,4.8339,4.9309,3848879,0
TPE,D,20101019,000000,4.8987,4.9552,4.8907,4.8987,4386947,0
TPE,D,20101020,000000,4.8744,4.9471,4.8744,4.939,3730964,0
TPE,D,20101021,000000,4.9148,4.9552,4.9148,4.9309,2225180,0
TPE,D,20101022,000000,4.9066,4.9471,4.9066,4.9471,3106876,0
TPE,D,20101025,000000,4.9229,5.0685,4.9229,5.0361,13610203,0
TPE,D,20101026,000000,5.1087,5.2542,5.1087,5.214,12836917,0
TPE,D,20101027,000000,5.2704,5.4645,5.2219,5.3756,10987384,0
TPE,D,20101028,000000,5.3998,5.4725,5.2624,5.3351,3927471,0
TPE,D,20101029,000000,5.2912,5.3077,5.2498,5.2665,2733874,0
TPE,D,20101102,000000,5.2624,5.3917,5.2219,5.3351,6187781,0
TPE,D,20101103,000000,5.327,5.3351,5.2947,5.2947,1480430,0
TPE,D,20101104,000000,5.311,5.3593,5.2947,5.3512,4236432,0
TPE,D,20101105,000000,5.3512,5.4079,5.2624,5.3837,7354792,0
TPE,D,20101108,000000,5.3837,5.424,5.2947,5.311,3824788,0
TPE,D,20101109,000000,5.3432,5.4079,5.319,5.3674,4742849,0
TPE,D,20101110,000000,5.3998,5.5616,5.3674,5.521,9779282,0
TPE,D,20101112,000000,5.4564,5.5372,5.432,5.5372,3877212,0
TPE,D,20101115,000000,5.5292,5.5292,5.416,5.416,1792319,0
TPE,D,20101116,000000,5.416,5.432,5.319,5.3432,2405360,0
TPE,D,20101117,000000,5.2785,5.3351,5.1412,5.2704,4850129,0
TPE,D,20101118,000000,5.2947,5.327,5.2867,5.3028,4608932,0
TPE,D,20101119,000000,5.3351,5.3351,5.1815,5.2947,3872525,0
