<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRI,D,19981112,000000,9.6,9.6,9.6,9.6,134638,0
TRI,D,19981113,000000,10.12,10.12,10.12,10.12,100584,0
TRI,D,19981116,000000,11.04,11.04,11.04,11.04,30090,0
TRI,D,19981117,000000,12.12,12.12,12.12,12.12,82575,0
TRI,D,19981118,000000,11.04,11.04,11.04,11.04,40357,0
TRI,D,19981119,000000,10.64,10.64,10.64,10.64,22590,0
TRI,D,19981120,000000,10.12,10.12,10.12,10.12,25125,0
TRI,D,19981123,000000,10.52,10.52,10.52,10.52,20514,0
TRI,D,19981124,000000,9.96,9.96,9.96,9.96,22301,0
TRI,D,19981125,000000,9.04,9.04,9.04,9.04,37796,0
TRI,D,19981126,000000,9.04,9.04,9.04,9.04,25816,0
TRI,D,19981127,000000,9.32,9.32,9.32,9.32,12670,0
TRI,D,19981130,000000,8.4,8.4,8.4,8.4,17767,0
TRI,D,19981201,000000,7.72,7.72,7.72,7.72,28862,0
TRI,D,19981202,000000,8,8,8,8,41143,0
TRI,D,19981203,000000,8.4,8.4,8.4,8.4,36617,0
TRI,D,19981204,000000,8.4,8.4,8.4,8.4,22126,0
TRI,D,19981207,000000,8.52,8.52,8.52,8.52,16223,0
TRI,D,19981208,000000,8.12,8.12,8.12,8.12,14237,0
TRI,D,19981209,000000,8.12,8.12,8.12,8.12,12683,0
TRI,D,19981210,000000,8.4,8.4,8.4,8.4,22499,0
TRI,D,19981211,000000,8.4,8.4,8.4,8.4,22259,0
TRI,D,19981214,000000,8.12,8.12,8.12,8.12,10373,0
TRI,D,19981215,000000,8.24,8.24,8.24,8.24,3476,0
TRI,D,19981216,000000,8.12,8.12,8.12,8.12,7527,0
TRI,D,19981217,000000,8.24,8.24,8.24,8.24,18103,0
TRI,D,19981218,000000,8.4,8.4,8.4,8.4,4794,0
TRI,D,19981221,000000,8.12,8.12,8.12,8.12,15047,0
TRI,D,19981222,000000,8.4,8.4,8.4,8.4,7356,0
TRI,D,19981223,000000,8.24,8.24,8.24,8.24,9197,0
TRI,D,19981228,000000,8.4,8.4,8.4,8.4,13670,0
TRI,D,19981229,000000,8.52,8.52,8.52,8.52,9361,0
TRI,D,19981230,000000,8.4,8.4,8.4,8.4,22522,0
TRI,D,19981231,000000,8.52,8.52,8.52,8.52,32060,0
TRI,D,19990104,000000,8.8,8.8,8.8,8.8,13087,0
TRI,D,19990105,000000,8.64,8.64,8.64,8.64,7083,0
TRI,D,19990106,000000,8.64,8.64,8.64,8.64,16548,0
TRI,D,19990107,000000,8.92,8.92,8.92,8.92,21957,0
TRI,D,19990108,000000,8.92,8.92,8.92,8.92,14013,0
TRI,D,19990111,000000,8.8,8.8,8.8,8.8,32936,0
TRI,D,19990112,000000,8.92,8.92,8.92,8.92,17323,0
TRI,D,19990113,000000,8.92,8.92,8.92,8.92,23494,0
TRI,D,19990114,000000,8.8,8.8,8.8,8.8,28240,0
TRI,D,19990115,000000,8.8,8.8,8.8,8.8,28061,0
TRI,D,19990118,000000,9.2,9.2,9.2,9.2,10225,0
TRI,D,19990119,000000,9.32,9.32,9.32,9.32,21494,0
TRI,D,19990120,000000,9.32,9.32,9.32,9.32,9749,0
TRI,D,19990121,000000,9.6,9.6,9.6,9.6,16573,0
TRI,D,19990122,000000,9.72,9.72,9.72,9.72,20874,0
TRI,D,19990125,000000,9.72,9.72,9.72,9.72,22606,0
TRI,D,19990126,000000,10.12,10.12,10.12,10.12,14998,0
TRI,D,19990127,000000,10.64,10.64,10.64,10.64,17881,0
TRI,D,19990128,000000,10.36,10.36,10.36,10.36,8112,0
TRI,D,19990129,000000,10.64,10.64,10.64,10.64,13507,0
TRI,D,19990201,000000,10.76,10.76,10.76,10.76,7190,0
TRI,D,19990202,000000,10.52,10.52,10.52,10.52,28043,0
TRI,D,19990203,000000,10.52,10.52,10.52,10.52,16797,0
TRI,D,19990204,000000,10.52,10.52,10.52,10.52,51358,0
TRI,D,19990205,000000,10.64,10.64,10.64,10.64,28757,0
TRI,D,19990208,000000,10.64,10.64,10.64,10.64,3774,0
TRI,D,19990209,000000,10.76,10.76,10.76,10.76,11923,0
TRI,D,19990210,000000,10.76,10.76,10.76,10.76,17339,0
TRI,D,19990211,000000,11.04,11.04,11.04,11.04,14161,0
TRI,D,19990212,000000,11.04,11.04,11.04,11.04,13065,0
TRI,D,19990215,000000,11.16,11.16,11.16,11.16,4612,0
TRI,D,19990216,000000,11.32,11.32,11.32,11.32,5823,0
TRI,D,19990217,000000,11.56,11.56,11.56,11.56,5397,0
TRI,D,19990218,000000,11.84,11.84,11.84,11.84,10940,0
TRI,D,19990219,000000,12.12,12.12,12.12,12.12,25213,0
TRI,D,19990222,000000,12.24,12.24,12.24,12.24,23544,0
TRI,D,19990223,000000,12.52,12.52,12.52,12.52,26951,0
TRI,D,19990224,000000,11.96,11.96,11.96,11.96,21627,0
TRI,D,19990225,000000,11.96,11.96,11.96,11.96,63640,0
TRI,D,19990226,000000,11.96,11.96,11.96,11.96,12980,0
TRI,D,19990301,000000,11.96,11.96,11.96,11.96,16359,0
TRI,D,19990302,000000,12.36,12.36,12.36,12.36,8465,0
TRI,D,19990303,000000,12.52,12.52,12.52,12.52,6005,0
TRI,D,19990304,000000,12.36,12.36,12.36,12.36,3997,0
TRI,D,19990305,000000,12.36,12.36,12.36,12.36,7046,0
TRI,D,19990308,000000,12.36,12.36,12.36,12.36,14090,0
TRI,D,19990309,000000,12.36,12.36,12.36,12.36,16044,0
TRI,D,19990310,000000,12.36,12.36,12.36,12.36,14561,0
TRI,D,19990311,000000,12.24,12.24,12.24,12.24,10354,0
TRI,D,19990312,000000,12.12,12.12,12.12,12.12,3940,0
TRI,D,19990315,000000,12.24,12.24,12.24,12.24,11089,0
TRI,D,19990316,000000,12.24,12.24,12.24,12.24,7929,0
TRI,D,19990317,000000,12.36,12.36,12.36,12.36,3437,0
TRI,D,19990318,000000,12.36,12.36,12.36,12.36,3701,0
TRI,D,19990319,000000,12.24,12.24,12.24,12.24,5588,0
TRI,D,19990322,000000,12.12,12.12,12.12,12.12,1717,0
TRI,D,19990323,000000,12.12,12.12,12.12,12.12,3758,0
TRI,D,19990324,000000,11.84,11.84,11.84,11.84,5320,0
TRI,D,19990325,000000,11.56,11.56,11.56,11.56,6692,0
TRI,D,19990326,000000,12.36,12.36,12.36,12.36,9075,0
TRI,D,19990329,000000,12.52,12.52,12.52,12.52,6068,0
TRI,D,19990330,000000,12.76,12.76,12.76,12.76,10007,0
TRI,D,19990331,000000,12.76,12.76,12.76,12.76,6992,0
TRI,D,19990401,000000,13.56,13.56,13.56,13.56,15146,0
TRI,D,19990406,000000,13.84,13.84,13.84,13.84,7585,0
TRI,D,19990407,000000,15.16,15.16,15.16,15.16,6501,0
TRI,D,19990408,000000,15.16,15.16,15.16,15.16,9995,0
TRI,D,19990409,000000,15.96,15.96,15.96,15.96,20475,0
TRI,D,19990412,000000,16.48,16.48,16.48,16.48,6869,0
TRI,D,19990413,000000,16.48,16.48,16.48,16.48,7921,0
TRI,D,19990414,000000,16.48,16.48,16.48,16.48,9928,0
TRI,D,19990415,000000,17.28,17.28,17.28,17.28,7427,0
TRI,D,19990416,000000,17.16,17.16,17.16,17.16,8762,0
TRI,D,19990419,000000,17.04,17.04,17.04,17.04,8404,0
TRI,D,19990420,000000,17.16,17.16,17.16,17.16,5203,0
TRI,D,19990421,000000,17.56,17.56,17.56,17.56,11453,0
TRI,D,19990422,000000,19.28,19.28,19.28,19.28,13936,0
TRI,D,19990423,000000,21.16,21.16,21.16,21.16,34686,0
TRI,D,19990426,000000,21.16,21.16,21.16,21.16,31589,0
TRI,D,19990427,000000,21.28,21.28,21.28,21.28,22194,0
TRI,D,19990428,000000,21.28,21.28,21.28,21.28,17844,0
TRI,D,19990429,000000,20.76,20.76,20.76,20.76,7185,0
TRI,D,19990430,000000,21.28,21.28,21.28,21.28,9303,0
TRI,D,19990504,000000,21.84,21.84,21.84,21.84,15051,0
TRI,D,19990505,000000,19.68,19.68,19.68,19.68,10912,0
TRI,D,19990506,000000,20.24,20.24,20.24,20.24,4188,0
TRI,D,19990507,000000,20.88,20.88,20.88,20.88,5407,0
TRI,D,19990510,000000,20.76,20.76,20.76,20.76,2213,0
TRI,D,19990511,000000,20.76,20.76,20.76,20.76,496,0
TRI,D,19990512,000000,21.16,21.16,21.16,21.16,1371,0
TRI,D,19990513,000000,20.76,20.76,20.76,20.76,2780,0
TRI,D,19990514,000000,20.76,20.76,20.76,20.76,4079,0
TRI,D,19990517,000000,21.04,21.04,21.04,21.04,11425,0
TRI,D,19990518,000000,20.76,20.76,20.76,20.76,2813,0
TRI,D,19990519,000000,20.88,20.88,20.88,20.88,4050,0
TRI,D,19990520,000000,20.76,20.76,20.76,20.76,3526,0
TRI,D,19990521,000000,20.76,20.76,20.76,20.76,789,0
TRI,D,19990524,000000,21.04,21.04,21.04,21.04,3020,0
TRI,D,19990525,000000,20.76,20.76,20.76,20.76,9430,0
TRI,D,19990526,000000,20.76,20.76,20.76,20.76,928,0
TRI,D,19990527,000000,20.88,20.88,20.88,20.88,3924,0
TRI,D,19990528,000000,20.64,20.64,20.64,20.64,16234,0
TRI,D,19990531,000000,20.76,20.76,20.76,20.76,6062,0
TRI,D,19990601,000000,20.88,20.88,20.88,20.88,2688,0
TRI,D,19990602,000000,20.76,20.76,20.76,20.76,7405,0
TRI,D,19990607,000000,21.04,21.04,21.04,21.04,2493,0
TRI,D,19990608,000000,23,23,23,23,6394,0
TRI,D,19990609,000000,23.96,23.96,23.96,23.96,58216,0
