<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRK,D,20080401,000000,31.745,35.555,31.181,34.709,234531,0
TRK,D,20080402,000000,35.766,35.836,33.792,33.861,58214,0
TRK,D,20080403,000000,34.85,34.85,33.367,33.861,26694,0
TRK,D,20080404,000000,34.215,34.215,32.943,33.861,10003,0
TRK,D,20080407,000000,33.792,34.567,32.875,33.156,36069,0
TRK,D,20080408,000000,32.943,32.943,31.886,32.168,15824,0
TRK,D,20080409,000000,32.168,34.425,31.816,33.367,425030,0
TRK,D,20080410,000000,34.143,34.497,33.227,34.215,4743,0
TRK,D,20080411,000000,35.272,38.024,35.272,35.977,145406,0
TRK,D,20080414,000000,35.625,36.26,34.567,36.19,16391,0
TRK,D,20080415,000000,36.684,37.318,35.272,35.272,49159,0
TRK,D,20080416,000000,35.977,36.049,34.567,34.567,24878,0
TRK,D,20080417,000000,35.131,35.272,34.215,34.778,8778,0
TRK,D,20080418,000000,34.778,35.272,33.579,34.709,20736,0
TRK,D,20080421,000000,35.555,35.555,34.215,34.355,6605,0
TRK,D,20080422,000000,34.567,34.567,32.803,33.085,31260,0
TRK,D,20080423,000000,33.016,33.438,32.309,32.591,17113,0
TRK,D,20080424,000000,32.875,33.579,32.449,33.016,10714,0
TRK,D,20080425,000000,33.932,33.932,32.522,33.932,16821,0
TRK,D,20080428,000000,34.497,34.991,33.932,34.567,13954,0
TRK,D,20080429,000000,34.355,34.497,33.932,34.143,1636,0
TRK,D,20080430,000000,33.721,34.284,33.721,34.284,10250,0
TRK,D,20080505,000000,35.272,35.272,33.861,34.425,4096,0
TRK,D,20080506,000000,34.284,34.355,33.861,34.355,5939,0
TRK,D,20080507,000000,34.355,34.497,33.932,34.425,9430,0
TRK,D,20080508,000000,33.861,34.497,33.65,33.932,3885,0
TRK,D,20080509,000000,33.861,33.932,33.085,33.367,36818,0
TRK,D,20080512,000000,33.861,34.143,33.156,33.861,4735,0
TRK,D,20080513,000000,33.932,34.074,33.508,33.932,6373,0
TRK,D,20080514,000000,35.131,35.131,33.65,33.792,7443,0
TRK,D,20080515,000000,33.65,34.425,33.508,34.143,62102,0
TRK,D,20080516,000000,35.06,36.402,34.85,36.402,88476,0
TRK,D,20080519,000000,36.684,38.094,36.684,38.024,57655,0
TRK,D,20080520,000000,38.024,39.364,37.389,37.953,112053,0
TRK,D,20080521,000000,37.953,38.235,36.542,38.094,52071,0
TRK,D,20080523,000000,38.799,39.505,38.094,38.799,12518,0
TRK,D,20080526,000000,39.082,39.082,37.529,37.812,3773,0
TRK,D,20080527,000000,36.33,37.883,36.33,37.389,5220,0
TRK,D,20080528,000000,37.601,38.446,36.753,38.305,11230,0
TRK,D,20080529,000000,38.305,38.73,37.177,38.517,3429,0
TRK,D,20080530,000000,38.446,38.588,37.742,38.024,57751,0
TRK,D,20080602,000000,37.529,38.094,37.389,37.459,3200,0
TRK,D,20080603,000000,37.953,39.082,37.036,38.799,120477,0
TRK,D,20080604,000000,39.152,40.492,38.73,38.73,7816,0
TRK,D,20080605,000000,39.152,39.152,38.094,38.659,2635,0
TRK,D,20080606,000000,38.799,39.434,38.377,38.799,137488,0
TRK,D,20080609,000000,37.883,38.024,37.036,37.953,15352,0
TRK,D,20080610,000000,37.389,38.517,36.753,37.036,25689,0
TRK,D,20080611,000000,37.671,37.742,35.836,36.895,86163,0
TRK,D,20080612,000000,36.049,36.753,35.909,36.049,79763,0
TRK,D,20080613,000000,35.836,35.977,35.272,35.625,60550,0
TRK,D,20080616,000000,36.402,36.402,35.625,36.049,14575,0
TRK,D,20080617,000000,35.836,36.402,35.836,36.33,35957,0
TRK,D,20080618,000000,36.612,37.036,35.555,35.555,25790,0
TRK,D,20080619,000000,36.26,37.036,35.555,36.753,21791,0
TRK,D,20080620,000000,37.247,37.247,36.049,36.33,35483,0
TRK,D,20080623,000000,36.33,36.33,33.932,34.215,74632,0
TRK,D,20080624,000000,34.215,35.343,34.002,34.425,34435,0
TRK,D,20080625,000000,34.919,35.696,34.425,35.272,35134,0
TRK,D,20080626,000000,35.413,36.118,35.272,36.118,43514,0
TRK,D,20080627,000000,35.272,35.343,34.637,35.202,29134,0
TRK,D,20080630,000000,35.202,35.555,34.637,34.919,47315,0
TRK,D,20080701,000000,35.555,35.555,34.074,34.215,24281,0
TRK,D,20080702,000000,34.002,35.06,33.579,33.65,9293,0
TRK,D,20080703,000000,32.803,33.508,31.745,31.745,99694,0
TRK,D,20080704,000000,32.309,32.309,29.629,31.04,918629,0
TRK,D,20080707,000000,31.04,31.11,29.769,30.616,5124,0
TRK,D,20080708,000000,29.981,30.899,28.5,29.275,14354,0
TRK,D,20080709,000000,29.347,30.474,29.275,30.334,3372,0
TRK,D,20080710,000000,30.053,31.533,28.359,29.629,155339,0
TRK,D,20080711,000000,29.911,29.911,28.923,29.488,8819,0
TRK,D,20080714,000000,30.193,30.193,27.653,28.006,17240,0
TRK,D,20080715,000000,28.006,28.288,26.948,27.089,175029,0
TRK,D,20080716,000000,26.807,28.218,26.807,27.866,8275,0
TRK,D,20080717,000000,28.641,30.264,28.641,30.193,10903,0
TRK,D,20080718,000000,30.264,30.334,29.629,30.122,3162,0
TRK,D,20080721,000000,30.122,32.381,30.122,32.028,6274,0
TRK,D,20080722,000000,31.745,31.957,31.181,31.25,4051,0
TRK,D,20080723,000000,31.886,34.355,31.886,34.355,30552,0
TRK,D,20080724,000000,34.425,34.637,33.227,33.861,17043,0
TRK,D,20080725,000000,33.156,36.118,32.522,35.696,41073,0
TRK,D,20080728,000000,35.625,37.318,35.484,36.049,147509,0
TRK,D,20080729,000000,35.909,36.049,35.555,36.049,27113,0
TRK,D,20080730,000000,36.966,37.671,35.625,36.049,105394,0
TRK,D,20080731,000000,36.049,36.049,34.637,35.131,16793,0
TRK,D,20080801,000000,35.272,36.049,34.637,35.977,4741,0
TRK,D,20080804,000000,35.625,35.625,34.284,35.131,6808,0
TRK,D,20080805,000000,35.131,35.625,34.567,35.625,101935,0
TRK,D,20080806,000000,36.26,36.26,34.991,34.991,28781,0
TRK,D,20080807,000000,34.919,35.272,34.425,34.991,120474,0
TRK,D,20080808,000000,34.991,35.484,34.709,35.272,1285,0
TRK,D,20080811,000000,35.272,36.612,35.272,35.977,123314,0
TRK,D,20080812,000000,36.26,36.684,35.977,35.977,63784,0
TRK,D,20080813,000000,36.542,36.542,35.836,36.26,5918,0
TRK,D,20080814,000000,37.036,37.389,36.684,36.966,117865,0
TRK,D,20080818,000000,37.036,37.601,36.402,37.459,32344,0
TRK,D,20080819,000000,37.036,37.247,35.836,36.33,13462,0
TRK,D,20080820,000000,36.684,36.684,36.049,36.684,7006,0
TRK,D,20080821,000000,37.318,37.318,36.33,36.471,1492,0
TRK,D,20080822,000000,36.471,37.036,36.33,36.966,23366,0
TRK,D,20080825,000000,36.966,37.247,36.895,36.966,2047,0
TRK,D,20080826,000000,37.036,37.036,36.895,37.036,8129,0
TRK,D,20080827,000000,36.542,37.036,36.542,36.824,33156,0
TRK,D,20080828,000000,36.824,36.895,36.19,36.895,6119,0
TRK,D,20080829,000000,36.684,37.177,36.471,36.966,6858,0
TRK,D,20080901,000000,37.177,37.177,36.471,36.684,18816,0
TRK,D,20080902,000000,37.177,38.377,37.177,37.812,29911,0
TRK,D,20080903,000000,37.601,38.094,37.459,37.529,19452,0
TRK,D,20080904,000000,38.024,41.268,38.024,39.505,70453,0
TRK,D,20080905,000000,38.377,39.152,38.094,38.094,36174,0
TRK,D,20080908,000000,39.082,39.788,37.953,38.094,8513,0
TRK,D,20080909,000000,38.799,38.799,37.318,37.529,4397,0
TRK,D,20080910,000000,37.177,37.389,36.753,37.318,19266,0
TRK,D,20080911,000000,36.966,38.799,36.895,38.659,8536,0
TRK,D,20080912,000000,38.588,40.14,38.446,39.646,89251,0
TRK,D,20080915,000000,38.799,38.799,37.529,37.883,13429,0
TRK,D,20080916,000000,37.389,37.953,35.413,35.555,31428,0
TRK,D,20080917,000000,36.684,37.036,34.497,34.919,32140,0
TRK,D,20080918,000000,33.438,35.272,32.449,34.497,109305,0
TRK,D,20080919,000000,36.049,36.612,35.272,36.471,15817,0
TRK,D,20080922,000000,36.684,37.812,36.19,36.19,6665,0
TRK,D,20080923,000000,35.625,35.625,34.778,35.272,11666,0
TRK,D,20080924,000000,35.766,35.766,34.991,35.625,4655,0
TRK,D,20080925,000000,35.272,36.19,35.272,36.049,11557,0
TRK,D,20080926,000000,35.977,35.977,35.131,35.343,4949,0
TRK,D,20080929,000000,35.272,35.555,34.567,34.991,10934,0
TRK,D,20080930,000000,33.932,37.177,33.861,36.33,39217,0
TRK,D,20081001,000000,36.612,37.318,35.766,35.977,3252,0
TRK,D,20081002,000000,36.26,36.33,35.555,35.766,1736,0
TRK,D,20081003,000000,36.402,36.402,34.778,35.696,10441,0
TRK,D,20081006,000000,34.85,35.625,34.284,34.85,17400,0
TRK,D,20081007,000000,35.272,35.625,33.508,35.272,17657,0
TRK,D,20081008,000000,33.721,34.919,33.156,34.215,18279,0
TRK,D,20081009,000000,34.567,34.709,33.227,33.861,10022,0
TRK,D,20081010,000000,31.816,32.803,29.841,30.474,157752,0
TRK,D,20081013,000000,31.745,33.65,31.745,33.156,55911,0
TRK,D,20081014,000000,35.272,35.625,33.792,33.792,16965,0
TRK,D,20081015,000000,33.792,34.215,32.591,33.156,13733,0
TRK,D,20081016,000000,31.957,33.861,31.04,33.156,149112,0
TRK,D,20081017,000000,34.778,34.778,31.886,32.943,19840,0
TRK,D,20081020,000000,33.792,34.143,33.721,33.861,93128,0
TRK,D,20081021,000000,34.425,34.425,33.508,33.508,7153,0
TRK,D,20081022,000000,33.156,34.074,32.381,32.803,6287,0
