<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRN,D,20080912,000000,2.9216,4.5559,2.885,4.1541,14292,0
TRN,D,20080915,000000,4.574,4.8389,3.9258,4.1541,5884,0
TRN,D,20080916,000000,4.3823,4.5649,4.1997,4.3823,2404,0
TRN,D,20080917,000000,4.4736,4.4736,4.4736,4.4736,55,0
TRN,D,20080918,000000,4.3823,4.5649,4.3823,4.5649,1062,0
TRN,D,20080919,000000,4.6015,4.7019,4.6015,4.7019,2465,0
TRN,D,20080922,000000,4.6562,5.1128,4.6562,4.7932,1676,0
TRN,D,20080923,000000,4.7658,4.8389,4.7658,4.8389,27,0
TRN,D,20080924,000000,4.8845,4.8845,4.8845,4.8845,11,0
TRN,D,20080925,000000,4.8206,4.9484,4.8206,4.9484,187,0
TRN,D,20080926,000000,5.1128,5.9344,5.1128,5.2954,4809,0
TRN,D,20080929,000000,5.2954,5.2954,5.0671,5.2954,1800,0
TRN,D,20080930,000000,5.2954,5.3501,5.0671,5.3501,2283,0
TRN,D,20081001,000000,5.3501,5.3501,4.9758,4.9758,1766,0
TRN,D,20081002,000000,5.1128,5.3501,5.1128,5.2041,231,0
TRN,D,20081003,000000,5.2041,5.3501,5.2041,5.341,1573,0
TRN,D,20081006,000000,5.2954,5.3867,5.2954,5.3867,363,0
TRN,D,20081007,000000,5.3867,5.3867,5.3867,5.3867,11,0
TRN,D,20081008,000000,5.2954,5.4323,5.2954,5.4323,59,0
TRN,D,20081009,000000,5.3867,5.4597,5.0671,5.2041,7119,0
TRN,D,20081010,000000,5.2041,5.2041,5.1584,5.1584,403,0
TRN,D,20081013,000000,5.1584,5.1584,5.1584,5.1584,11,0
TRN,D,20081014,000000,5.2041,5.2041,5.2041,5.2041,121,0
TRN,D,20081015,000000,5.1584,5.1584,5.1584,5.1584,11,0
TRN,D,20081016,000000,5.1584,5.1584,5.1584,5.1584,11,0
TRN,D,20081017,000000,5.1584,5.1584,5.1584,5.1584,11,0
TRN,D,20081020,000000,5.1584,5.1584,5.1584,5.1584,11,0
TRN,D,20081021,000000,5.2041,5.2041,5.2041,5.2041,11,0
TRN,D,20081022,000000,5.2041,5.2041,5.2041,5.2041,11,0
TRN,D,20081023,000000,5.2041,5.4231,5.2041,5.4231,21,0
TRN,D,20081028,000000,5.414,5.414,5.414,5.414,11,0
TRN,D,20081029,000000,5.414,5.414,5.2041,5.2041,16,0
TRN,D,20081030,000000,5.2041,5.2041,5.2041,5.2041,11,0
TRN,D,20081031,000000,5.2041,5.2497,5.2041,5.2497,34,0
TRN,D,20081103,000000,5.2497,5.2497,5.2497,5.2497,196,0
TRN,D,20081104,000000,5.414,5.4323,5.414,5.4323,371,0
TRN,D,20081105,000000,5.4231,5.4231,5.341,5.341,6,0
TRN,D,20081106,000000,5.341,5.341,5.341,5.341,1,0
TRN,D,20081107,000000,5.341,5.341,5.1128,5.1128,344,0
TRN,D,20081110,000000,5.1128,5.1128,5.1128,5.1128,1,0
TRN,D,20081114,000000,5.1128,5.1128,5.1128,5.1128,1,0
TRN,D,20081117,000000,5.1128,5.1128,5.1128,5.1128,5,0
TRN,D,20081118,000000,5.1128,5.1128,5.1128,5.1128,1,0
TRN,D,20081119,000000,5.1128,5.1128,5.1128,5.1128,1,0
TRN,D,20081121,000000,5.1128,5.1128,5.1128,5.1128,1,0
TRN,D,20081124,000000,5.2954,5.2954,5.2954,5.2954,1,0
TRN,D,20081201,000000,5.4323,5.4323,5.4323,5.4323,1,0
TRN,D,20081202,000000,5.4323,5.4323,5.4323,5.4323,1,0
TRN,D,20081203,000000,5.4323,5.4323,5.4323,5.4323,1,0
TRN,D,20081204,000000,5.4323,5.4323,5.4323,5.4323,1,0
