<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRR,D,20121001,000000,0.84,0.84,0.84,0.84,35000,0
TRR,D,20121002,000000,1,1,1,1,2400043,0
TRR,D,20121003,000000,1.2,1.44,1,1.44,545267,0
TRR,D,20121004,000000,1.72,2.1,1.72,2.1,75998,0
TRR,D,20121005,000000,2.52,3.02,2.52,3.02,20454,0
TRR,D,20121008,000000,3.31,4.76,3.31,4.2,56715,0
TRR,D,20121009,000000,4.4,5,3.01,5,114170,0
TRR,D,20121010,000000,5,5.35,4.4,5.35,23172,0
TRR,D,20121011,000000,5.3,6.42,4.65,6.42,25438,0
TRR,D,20121012,000000,6.41,6.42,5.2,6,20255,0
TRR,D,20121015,000000,6,6,5.05,5.71,3333,0
TRR,D,20121016,000000,5.7,5.7,4.8,5.65,5485,0
TRR,D,20121017,000000,6,6,5.4,5.75,224,0
TRR,D,20121018,000000,5.2,5.99,4.57,5.99,6187,0
TRR,D,20121019,000000,5.99,5.99,5.3,5.3,1060,0
TRR,D,20121022,000000,5,5.45,5,5.45,755,0
TRR,D,20121023,000000,5,5.7,5,5.5,6143,0
TRR,D,20121024,000000,5.5,5.5,5,5.34,3133,0
TRR,D,20121025,000000,5.16,5.3,5,5.25,1343,0
TRR,D,20121026,000000,5.01,5.1,5.01,5.1,1702,0
TRR,D,20121029,000000,5.2,5.25,5.2,5.25,5057,0
TRR,D,20121030,000000,5.25,6,5.12,6,21454,0
TRR,D,20121031,000000,6,6.21,6,6.21,1919,0
TRR,D,20121102,000000,6.25,7,6.01,6.01,471,0
TRR,D,20121105,000000,6.01,6.01,5.01,5.04,10650,0
TRR,D,20121106,000000,5.05,5.25,5.05,5.25,2222,0
TRR,D,20121107,000000,5.21,5.21,5.21,5.21,350,0
TRR,D,20121108,000000,5.21,5.4,5.21,5.4,19,0
TRR,D,20121109,000000,5.45,5.45,5.45,5.45,10,0
TRR,D,20121112,000000,5.45,5.45,5.45,5.45,10,0
TRR,D,20121113,000000,5.53,5.53,5.53,5.53,10,0
TRR,D,20121114,000000,5.6,5.6,5.6,5.6,270,0
TRR,D,20121115,000000,5.65,5.65,5.65,5.65,20,0
