<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSG,D,20090708,000000,8.9633,9.2776,8.9633,9.0971,157654,0
TSG,D,20090709,000000,9.4114,10.666,9.0614,9.546,39706,0
TSG,D,20090710,000000,9.904,10.218,9.591,9.86,2908,0
TSG,D,20090713,000000,10.756,11.661,10.263,10.531,31160,0
TSG,D,20090714,000000,10.487,10.531,10.083,10.397,2558,0
TSG,D,20090715,000000,10.128,10.317,9.86,10.317,625,0
TSG,D,20090716,000000,9.86,10.442,9.77,10.442,575,0
TSG,D,20090717,000000,10.397,10.397,10.218,10.397,167,0
TSG,D,20090720,000000,9.869,10.353,9.869,10.353,252,0
TSG,D,20090721,000000,9.869,10.397,9.869,10.397,123,0
TSG,D,20090722,000000,9.869,10.397,9.869,10.397,979,0
TSG,D,20090723,000000,9.896,10.442,9.77,9.904,43143,0
TSG,D,20090724,000000,10.379,10.379,9.77,9.86,31685,0
TSG,D,20090727,000000,9.85,9.86,9.85,9.86,5307,0
TSG,D,20090728,000000,9.86,9.86,9.86,9.86,20912,0
TSG,D,20090729,000000,9.86,10.308,9.86,10.308,842,0
TSG,D,20090730,000000,9.904,10.353,9.85,9.85,6326,0
TSG,D,20090731,000000,9.85,9.86,9.85,9.85,12891,0
TSG,D,20090804,000000,9.689,9.86,9.681,9.86,1261,0
TSG,D,20090805,000000,9.814,10.317,9.814,10.317,1507,0
TSG,D,20090807,000000,9.86,9.86,9.77,9.77,39035,0
TSG,D,20090810,000000,9.814,9.824,9.77,9.77,2633,0
TSG,D,20090811,000000,9.814,9.814,9.814,9.814,3701,0
TSG,D,20090812,000000,9.814,9.814,9.814,9.814,480,0
TSG,D,20090813,000000,10.397,10.576,10.397,10.576,449,0
TSG,D,20090814,000000,10.576,10.576,10.253,10.576,278,0
TSG,D,20090817,000000,10.576,10.576,10.083,10.308,359,0
TSG,D,20090818,000000,10.308,10.308,10.308,10.308,187,0
TSG,D,20090819,000000,10.308,10.308,10.308,10.308,21936,0
TSG,D,20090820,000000,10.308,10.308,10.039,10.128,867,0
TSG,D,20090821,000000,10.128,10.487,10.128,10.308,79,0
TSG,D,20090824,000000,10.818,10.845,10.487,10.801,2440,0
TSG,D,20090825,000000,10.801,10.801,10.442,10.801,1881,0
TSG,D,20090826,000000,10.801,11.329,10.801,10.979,1820,0
TSG,D,20090827,000000,12.351,12.351,10.756,10.756,9984,0
TSG,D,20090828,000000,10.756,11.607,10.756,11.607,136,0
TSG,D,20090831,000000,11.562,11.562,11.562,11.562,45,0
TSG,D,20090901,000000,10.936,11.115,10.936,11.115,847,0
TSG,D,20090902,000000,10.936,10.936,10.936,10.936,308,0
TSG,D,20090903,000000,10.936,10.936,10.936,10.936,5,0
TSG,D,20090904,000000,10.936,10.936,10.576,10.576,837,0
TSG,D,20090907,000000,10.576,10.576,10.389,10.397,88187,0
TSG,D,20090908,000000,10.397,11.069,10.389,10.953,47383,0
TSG,D,20090909,000000,11.025,11.204,11.025,11.115,3458,0
TSG,D,20090910,000000,11.115,11.204,10.756,10.936,5347,0
TSG,D,20090911,000000,11.204,11.921,10.944,11.832,43835,0
TSG,D,20090914,000000,11.652,11.652,11.204,11.204,2404,0
TSG,D,20090915,000000,11.652,11.652,11.159,11.159,2608,0
TSG,D,20090916,000000,11.832,11.832,10.854,10.854,1729,0
TSG,D,20090917,000000,11.115,11.607,11.115,11.472,1385,0
TSG,D,20090918,000000,11.465,11.465,11.204,11.393,121,0
TSG,D,20090921,000000,11.293,12.011,11.293,11.921,5021,0
TSG,D,20090922,000000,12.235,12.279,12.235,12.279,1127,0
