<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXM,D,20161229,000000,5.73,5.73,5.3,5.52,254571,0
TXM,D,20161230,000000,5.54,5.82,5.5,5.63,199687,0
TXM,D,20170102,000000,5.7,5.7,5.5,5.57,45212,0
TXM,D,20170103,000000,5.68,5.69,5.52,5.52,56345,0
TXM,D,20170104,000000,5.62,5.7,5.55,5.7,25994,0
TXM,D,20170105,000000,5.74,5.74,5.62,5.7,2547,0
TXM,D,20170109,000000,5.7,5.7,5.47,5.5,74969,0
TXM,D,20170110,000000,5.6,5.6,5.45,5.57,46782,0
TXM,D,20170111,000000,5.55,5.73,5.55,5.73,5061,0
TXM,D,20170112,000000,5.73,5.73,5.5,5.7,604,0
TXM,D,20170113,000000,5.7,5.7,5.51,5.68,25131,0
TXM,D,20170116,000000,5.65,5.65,5.58,5.63,233,0
TXM,D,20170117,000000,5.63,5.63,5.58,5.63,658,0
TXM,D,20170118,000000,5.63,5.63,5.48,5.63,2035,0
TXM,D,20170119,000000,5.63,5.63,5.45,5.59,2148,0
TXM,D,20170120,000000,5.57,5.57,5.57,5.57,2,0
TXM,D,20170123,000000,5.56,5.63,5.45,5.45,2140,0
TXM,D,20170124,000000,5.45,5.64,5.45,5.56,2380,0
TXM,D,20170125,000000,5.65,5.65,5.22,5.54,10228,0
TXM,D,20170126,000000,5.62,5.62,5.36,5.5,2045,0
TXM,D,20170127,000000,5.51,5.51,5.35,5.5,21584,0
TXM,D,20170130,000000,5.55,5.7,5.55,5.64,3622,0
TXM,D,20170131,000000,5.64,5.7,5.41,5.7,14677,0
TXM,D,20170201,000000,5.7,5.7,5.66,5.67,2018,0
TXM,D,20170202,000000,5.7,5.7,5.65,5.65,1043,0
TXM,D,20170203,000000,5.67,5.67,5.47,5.65,35909,0
TXM,D,20170206,000000,5.65,5.65,5.55,5.55,105,0
TXM,D,20170207,000000,5.66,5.66,5.56,5.64,522,0
TXM,D,20170208,000000,5.62,5.62,5.46,5.46,9038,0
TXM,D,20170209,000000,5.64,5.64,5.43,5.55,368,0
TXM,D,20170210,000000,5.44,5.63,5.44,5.63,14,0
TXM,D,20170213,000000,5.65,5.65,5.39,5.39,10705,0
TXM,D,20170214,000000,5.49,5.5,5.35,5.5,1239,0
TXM,D,20170215,000000,5.5,5.67,5.5,5.67,12061,0
TXM,D,20170216,000000,5.66,5.66,5.37,5.6,3802,0
TXM,D,20170217,000000,5.6,5.65,5.55,5.55,1022,0
TXM,D,20170220,000000,5.63,5.65,5.51,5.64,4728,0
TXM,D,20170221,000000,5.64,5.69,5.64,5.69,3040,0
TXM,D,20170222,000000,5.7,5.7,5.69,5.69,140,0
TXM,D,20170223,000000,5.69,5.69,5.45,5.69,872,0
TXM,D,20170224,000000,5.69,5.69,5.69,5.69,1,0
TXM,D,20170227,000000,5.7,5.7,5.7,5.7,2,0
TXM,D,20170228,000000,5.69,5.69,5.69,5.69,2,0
TXM,D,20170301,000000,5.7,5.7,5.5,5.5,3764,0
TXM,D,20170302,000000,5.6,5.6,5.4,5.6,897,0
TXM,D,20170303,000000,5.6,5.69,5.4,5.69,355,0
TXM,D,20170306,000000,5.65,5.65,5.36,5.6,1700,0
TXM,D,20170307,000000,5.6,5.6,5.3,5.5,7530,0
TXM,D,20170308,000000,5.5,5.5,5.5,5.5,1,0
TXM,D,20170309,000000,5.49,5.49,5.49,5.49,380,0
TXM,D,20170310,000000,5.57,5.57,5.56,5.56,1615,0
TXM,D,20170313,000000,5.22,5.5,5.22,5.4,947,0
TXM,D,20170314,000000,5.5,5.5,5.36,5.36,923,0
TXM,D,20170315,000000,5.4,5.91,5.4,5.83,9399,0
TXM,D,20170316,000000,5.83,5.83,5.68,5.79,11992,0
TXM,D,20170317,000000,5.79,5.79,5.35,5.75,9032,0
TXM,D,20170320,000000,5.72,5.72,5.63,5.69,5417,0
TXM,D,20170321,000000,5.69,5.69,5.54,5.55,4028,0
TXM,D,20170322,000000,5.55,5.55,5.4,5.55,2242,0
TXM,D,20170323,000000,5.55,5.55,5.51,5.51,680,0
TXM,D,20170324,000000,5.52,5.55,5.42,5.5,85795,0
TXM,D,20170327,000000,5.5,5.5,5.42,5.5,1473,0
TXM,D,20170328,000000,5.5,5.5,5.5,5.5,1430,0
TXM,D,20170329,000000,5.5,5.56,5.4,5.56,12062,0
TXM,D,20170330,000000,5.6,5.6,5.4,5.59,3394,0
TXM,D,20170331,000000,5.59,5.59,5.33,5.35,6408,0
TXM,D,20170403,000000,5.4,5.4,5.4,5.4,251,0
TXM,D,20170404,000000,5.4,5.4,5.31,5.4,5026,0
TXM,D,20170405,000000,5.4,5.4,5.4,5.4,7,0
TXM,D,20170406,000000,5.4,5.55,5.4,5.48,1132,0
TXM,D,20170407,000000,5.48,5.48,4.95,5.25,4723,0
TXM,D,20170410,000000,5.29,5.29,5.15,5.28,1024,0
TXM,D,20170411,000000,5.29,5.29,5.15,5.16,522,0
TXM,D,20170412,000000,5.25,5.25,5.16,5.25,449,0
TXM,D,20170413,000000,5.25,5.25,5.16,5.25,136,0
TXM,D,20170418,000000,5.25,5.25,5.05,5.05,3982,0
TXM,D,20170419,000000,5.11,5.11,5.06,5.11,48,0
TXM,D,20170420,000000,5.11,5.11,5.05,5.11,1832,0
TXM,D,20170421,000000,5.03,5.03,4.84,4.95,12894,0
TXM,D,20170424,000000,5.11,5.11,4.91,5.05,450,0
TXM,D,20170425,000000,5.05,5.05,4.91,5,184,0
TXM,D,20170426,000000,5,5.05,5,5.05,6,0
TXM,D,20170427,000000,5.05,5.11,4.91,5.11,20387,0
TXM,D,20170428,000000,5.1,5.1,4.91,5.1,125,0
TXM,D,20170502,000000,4.87,5,4.87,5,285,0
TXM,D,20170504,000000,5,5.05,5,5.05,3,0
TXM,D,20170505,000000,5.05,5.05,4.9,5.05,2540,0
TXM,D,20170508,000000,5.05,5.05,5.05,5.05,1,0
TXM,D,20170509,000000,5.05,5.05,5,5.05,302,0
TXM,D,20170510,000000,4.88,5.04,4.76,5,2521,0
TXM,D,20170511,000000,4.99,5,4.99,5,742,0
TXM,D,20170512,000000,5,5,5,5,2,0
TXM,D,20170515,000000,5.05,5.05,5.05,5.05,1,0
TXM,D,20170516,000000,5.08,5.09,5.08,5.09,1210,0
TXM,D,20170517,000000,5.08,5.08,4.88,5.05,1825,0
TXM,D,20170518,000000,5.05,5.05,4.83,5.05,1007,0
TXM,D,20170519,000000,5.05,5.05,4.76,4.81,4108,0
TXM,D,20170522,000000,4.88,4.88,4.46,4.46,2,0
TXM,D,20170523,000000,4.46,4.86,4.46,4.79,402,0
TXM,D,20170524,000000,4.79,4.79,4.01,4.35,38131,0
TXM,D,20170525,000000,4.7,4.7,4.6,4.6,105,0
TXM,D,20170526,000000,4.6,4.6,4.6,4.6,1,0
TXM,D,20170529,000000,4.12,4.53,4.12,4.15,1501,0
TXM,D,20170530,000000,4.15,4.15,3.99,4.05,17361,0
TXM,D,20170531,000000,4.13,4.29,4.13,4.29,530,0
TXM,D,20170601,000000,4.28,4.28,4,4.09,20805,0
TXM,D,20170602,000000,4.1,4.1,4.1,4.1,1,0
TXM,D,20170605,000000,4.05,4.05,4.05,4.05,1,0
TXM,D,20170606,000000,3.71,4,3.71,4,525,0
TXM,D,20170607,000000,4,4,4,4,13,0
TXM,D,20170608,000000,4,4,4,4,22,0
TXM,D,20170609,000000,3.81,4,3.81,3.82,605,0
TXM,D,20170612,000000,3.81,3.96,3.8,3.96,12994,0
TXM,D,20170613,000000,4.27,4.27,3.9,4.05,5785,0
TXM,D,20170614,000000,4.05,4.1,4.03,4.03,328,0
TXM,D,20170616,000000,4.1,4.3,3.91,4,18504,0
TXM,D,20170619,000000,4.28,4.28,4,4,15206,0
