<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG,D,19870102,000000,50.666,51.441,49.896,50.666,0,0
UCG,D,19870105,000000,51.441,52.02,51.441,51.441,0,0
UCG,D,19870107,000000,52.794,53.175,51.441,51.441,0,0
UCG,D,19870108,000000,50.666,50.666,49.116,49.304,0,0
UCG,D,19870109,000000,49.304,49.693,49.304,49.304,0,0
UCG,D,19870112,000000,49.304,49.304,49.304,49.304,0,0
UCG,D,19870113,000000,49.304,49.304,49.304,49.304,0,0
UCG,D,19870114,000000,49.304,49.304,49.304,49.304,0,0
UCG,D,19870115,000000,50.277,50.277,50.277,50.277,0,0
UCG,D,19870116,000000,49.896,49.896,49.896,49.896,0,0
UCG,D,19870119,000000,49.116,49.116,49.116,49.116,0,0
UCG,D,19870120,000000,48.735,48.735,48.735,48.735,0,0
UCG,D,19870121,000000,48.538,48.538,48.538,48.538,0,0
UCG,D,19870122,000000,47.373,47.373,47.373,47.373,0,0
UCG,D,19870123,000000,47.955,47.955,47.955,47.955,0,0
UCG,D,19870126,000000,46.607,46.607,46.607,46.607,0,0
UCG,D,19870127,000000,46.607,46.607,46.607,46.607,0,0
UCG,D,19870128,000000,46.019,46.019,46.019,46.019,0,0
UCG,D,19870129,000000,47.181,47.181,47.181,47.181,0,0
UCG,D,19870130,000000,47.763,48.538,47.763,48.538,0,0
UCG,D,19870202,000000,47.763,47.763,47.763,47.763,0,0
UCG,D,19870203,000000,47.763,47.763,47.763,47.763,0,0
UCG,D,19870204,000000,46.607,46.607,46.607,46.607,0,0
UCG,D,19870205,000000,46.987,46.987,46.987,46.987,0,0
UCG,D,19870206,000000,46.607,46.607,46.607,46.607,0,0
UCG,D,19870209,000000,45.639,45.639,45.639,45.639,0,0
UCG,D,19870210,000000,45.441,45.441,45.441,45.441,0,0
UCG,D,19870211,000000,45.639,45.639,45.639,45.639,0,0
UCG,D,19870212,000000,45.05,45.639,45.05,45.05,0,0
UCG,D,19870213,000000,45.05,45.639,45.05,45.05,0,0
UCG,D,19870216,000000,46.218,46.218,46.218,46.218,0,0
UCG,D,19870217,000000,44.865,44.865,44.865,44.865,0,0
UCG,D,19870218,000000,44.67,44.67,44.67,44.67,0,0
UCG,D,19870219,000000,44.284,44.284,44.284,44.284,0,0
UCG,D,19870220,000000,44.284,44.284,44.284,44.284,0,0
UCG,D,19870223,000000,45.05,45.05,45.05,45.05,0,0
UCG,D,19870224,000000,45.25,45.25,45.25,45.25,0,0
UCG,D,19870225,000000,44.284,44.284,44.284,44.284,0,0
UCG,D,19870226,000000,43.893,43.893,43.893,43.893,0,0
UCG,D,19870227,000000,44.284,44.474,44.284,44.474,0,0
UCG,D,19870302,000000,43.893,43.893,43.893,43.893,0,0
UCG,D,19870303,000000,43.119,43.119,43.119,43.119,0,0
UCG,D,19870304,000000,43.51,43.51,43.51,43.51,0,0
UCG,D,19870305,000000,43.51,43.51,43.51,43.51,0,0
UCG,D,19870306,000000,43.51,43.51,43.51,43.51,0,0
UCG,D,19870309,000000,42.93,42.93,42.93,42.93,0,0
UCG,D,19870310,000000,42.93,42.93,42.93,42.93,0,0
UCG,D,19870311,000000,43.119,43.119,43.119,43.119,0,0
UCG,D,19870312,000000,42.93,42.93,42.93,42.93,0,0
UCG,D,19870313,000000,43.119,43.119,43.119,43.119,0,0
UCG,D,19870316,000000,43.319,43.319,43.319,43.319,0,0
UCG,D,19870317,000000,44.284,44.67,44.284,44.284,0,0
UCG,D,19870318,000000,44.67,45.05,44.67,44.67,0,0
UCG,D,19870319,000000,44.284,44.474,44.284,44.284,0,0
UCG,D,19870320,000000,44.67,44.67,44.67,44.67,0,0
UCG,D,19870323,000000,45.441,45.441,45.441,45.441,0,0
UCG,D,19870324,000000,44.474,44.474,44.474,44.474,0,0
UCG,D,19870325,000000,44.09,44.09,44.09,44.09,0,0
UCG,D,19870326,000000,43.702,43.702,43.702,43.702,0,0
UCG,D,19870327,000000,43.51,43.51,43.51,43.51,0,0
UCG,D,19870330,000000,42.93,42.93,42.93,42.93,0,0
UCG,D,19870331,000000,42.733,42.733,42.733,42.733,0,0
UCG,D,19870401,000000,42.733,42.733,42.733,42.733,0,0
UCG,D,19870402,000000,43.51,43.51,43.51,43.51,0,0
UCG,D,19870403,000000,43.51,43.51,43.51,43.51,0,0
UCG,D,19870406,000000,43.893,43.893,43.893,43.893,0,0
UCG,D,19870407,000000,43.893,43.893,43.893,43.893,0,0
UCG,D,19870408,000000,43.702,43.702,43.702,43.702,0,0
UCG,D,19870409,000000,43.51,44.284,43.51,43.51,0,0
UCG,D,19870410,000000,44.67,44.67,43.893,43.893,0,0
UCG,D,19870413,000000,45.441,46.019,45.25,46.019,0,0
UCG,D,19870414,000000,46.218,46.218,46.218,46.218,0,0
UCG,D,19870415,000000,46.019,46.218,46.019,46.019,0,0
UCG,D,19870416,000000,46.218,46.218,46.218,46.218,0,0
UCG,D,19870417,000000,46.607,46.607,46.607,46.607,0,0
UCG,D,19870421,000000,46.607,46.607,46.607,46.607,0,0
UCG,D,19870422,000000,46.607,46.607,46.607,46.607,0,0
UCG,D,19870423,000000,46.218,46.218,46.218,46.218,0,0
UCG,D,19870424,000000,46.019,46.019,46.019,46.019,0,0
UCG,D,19870427,000000,45.832,45.832,45.832,45.832,0,0
UCG,D,19870428,000000,44.284,45.05,44.284,44.284,0,0
UCG,D,19870429,000000,45.05,45.05,45.05,45.05,0,0
UCG,D,19870430,000000,44.67,45.639,44.67,44.67,0,0
UCG,D,19870504,000000,45.441,45.441,45.441,45.441,0,0
UCG,D,19870505,000000,45.639,45.639,45.639,45.639,0,0
UCG,D,19870506,000000,44.284,44.284,44.284,44.284,0,0
UCG,D,19870507,000000,44.284,44.284,44.284,44.284,0,0
UCG,D,19870508,000000,43.51,43.51,43.51,43.51,0,0
UCG,D,19870511,000000,44.284,44.284,44.284,44.284,0,0
UCG,D,19870512,000000,42.93,42.93,42.93,42.93,0,0
UCG,D,19870513,000000,43.51,43.51,43.51,43.51,0,0
UCG,D,19870514,000000,40.028,40.028,40.028,40.028,0,0
UCG,D,19870515,000000,41.381,41.381,41.381,41.381,0,0
UCG,D,19870518,000000,40.801,40.801,40.801,40.801,0,0
UCG,D,19870519,000000,39.45,39.45,39.45,39.45,0,0
UCG,D,19870520,000000,39.639,40.801,39.639,40.028,0,0
UCG,D,19870521,000000,40.801,40.801,39.639,40.028,0,0
UCG,D,19870522,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870525,000000,39.061,39.061,38.48,38.48,0,0
UCG,D,19870526,000000,38.675,38.675,38.675,38.675,0,0
UCG,D,19870527,000000,38.675,38.675,38.675,38.675,0,0
UCG,D,19870528,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870529,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870601,000000,38.675,39.45,38.675,39.45,0,0
UCG,D,19870602,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870603,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870604,000000,39.45,39.639,39.45,39.639,0,0
UCG,D,19870605,000000,40.028,40.028,40.028,40.028,0,0
UCG,D,19870608,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870609,000000,39.639,39.639,39.639,39.639,0,0
UCG,D,19870610,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870611,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870612,000000,39.639,39.83,39.639,39.639,0,0
UCG,D,19870615,000000,39.639,39.639,39.639,39.639,0,0
UCG,D,19870616,000000,40.801,40.801,40.801,40.801,0,0
UCG,D,19870617,000000,40.801,40.801,40.801,40.801,0,0
UCG,D,19870618,000000,39.83,39.83,39.83,39.83,0,0
UCG,D,19870619,000000,39.639,39.639,39.639,39.639,0,0
UCG,D,19870622,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870623,000000,40.028,40.028,40.028,40.028,0,0
UCG,D,19870624,000000,39.252,39.252,39.252,39.252,0,0
UCG,D,19870625,000000,39.061,39.061,38.48,38.48,0,0
UCG,D,19870626,000000,38.096,38.096,38.096,38.096,0,0
UCG,D,19870629,000000,38.096,38.096,38.096,38.096,0,0
UCG,D,19870630,000000,37.51,37.707,37.51,37.51,0,0
UCG,D,19870701,000000,37.32,37.32,37.32,37.32,0,0
UCG,D,19870702,000000,36.74,36.74,36.74,36.74,0,0
UCG,D,19870703,000000,36.74,36.74,36.74,36.74,0,0
UCG,D,19870706,000000,36.548,36.548,36.548,36.548,0,0
UCG,D,19870707,000000,36.162,36.162,36.162,36.162,0,0
UCG,D,19870708,000000,36.35,36.35,36.35,36.35,0,0
UCG,D,19870709,000000,36.548,36.932,36.548,36.548,0,0
UCG,D,19870710,000000,36.932,36.932,36.932,36.932,0,0
UCG,D,19870713,000000,36.548,36.548,36.548,36.548,0,0
UCG,D,19870714,000000,36.35,36.35,36.35,36.35,0,0
UCG,D,19870715,000000,36.35,36.35,36.35,36.35,0,0
UCG,D,19870716,000000,37.126,37.126,37.126,37.126,0,0
UCG,D,19870717,000000,38.096,38.096,38.096,38.096,0,0
UCG,D,19870720,000000,39.061,39.061,39.061,39.061,0,0
UCG,D,19870721,000000,39.252,39.252,39.252,39.252,0,0
UCG,D,19870722,000000,38.285,38.285,38.285,38.285,0,0
UCG,D,19870723,000000,37.51,37.51,37.51,37.51,0,0
UCG,D,19870724,000000,37.126,37.126,37.126,37.126,0,0
UCG,D,19870727,000000,37.32,37.32,37.32,37.32,0,0
UCG,D,19870728,000000,37.32,37.32,37.32,37.32,0,0
UCG,D,19870729,000000,37.51,37.51,37.51,37.51,0,0
UCG,D,19870730,000000,37.51,37.51,37.51,37.51,0,0
UCG,D,19870731,000000,36.932,36.932,36.932,36.932,0,0
UCG,D,19870803,000000,36.162,36.162,36.162,36.162,0,0
UCG,D,19870804,000000,36.548,36.548,36.548,36.548,0,0
UCG,D,19870805,000000,35.965,35.965,35.965,35.965,0,0
UCG,D,19870806,000000,35.389,35.389,35.389,35.389,0,0
UCG,D,19870807,000000,35.194,35.194,35.194,35.194,0,0
UCG,D,19870810,000000,33.261,33.841,33.261,33.261,0,0
UCG,D,19870811,000000,33.646,33.646,33.646,33.646,0,0
UCG,D,19870812,000000,35.775,35.775,35.775,35.775,0,0
UCG,D,19870813,000000,34.998,34.998,34.998,34.998,0,0
UCG,D,19870814,000000,35.194,35.194,35.194,35.194,0,0
UCG,D,19870817,000000,34.033,34.033,34.033,34.033,0,0
UCG,D,19870818,000000,34.033,34.033,34.033,34.033,0,0
UCG,D,19870819,000000,34.033,34.225,34.033,34.033,0,0
UCG,D,19870820,000000,34.806,34.806,34.806,34.806,0,0
UCG,D,19870821,000000,34.806,34.806,34.806,34.806,0,0
UCG,D,19870824,000000,35.194,35.194,35.194,35.194,0,0
UCG,D,19870825,000000,34.033,34.033,34.033,34.033,0,0
UCG,D,19870826,000000,33.261,34.225,33.261,33.261,0,0
UCG,D,19870827,000000,34.613,34.613,34.613,34.613,0,0
UCG,D,19870828,000000,34.806,34.806,34.806,34.806,0,0
UCG,D,19870831,000000,35.389,35.389,35.389,35.389,0,0
UCG,D,19870901,000000,35.389,37.707,35.389,37.707,0,0
UCG,D,19870902,000000,36.162,36.162,36.162,36.162,0,0
UCG,D,19870903,000000,34.225,34.225,34.225,34.225,0,0
UCG,D,19870904,000000,34.998,34.998,34.998,34.998,0,0
UCG,D,19870907,000000,34.225,34.225,34.225,34.225,0,0
UCG,D,19870908,000000,34.225,34.225,34.225,34.225,0,0
UCG,D,19870909,000000,33.841,33.841,33.841,33.841,0,0
UCG,D,19870910,000000,33.841,33.841,33.841,33.841,0,0
UCG,D,19870911,000000,33.261,33.261,33.261,33.261,0,0
UCG,D,19870914,000000,33.261,33.261,33.261,33.261,0,0
UCG,D,19870915,000000,33.452,33.452,33.452,33.452,0,0
UCG,D,19870916,000000,34.225,34.225,34.225,34.225,0,0
UCG,D,19870917,000000,34.613,34.998,34.613,34.613,0,0
UCG,D,19870918,000000,34.613,34.613,34.613,34.613,0,0
UCG,D,19870921,000000,34.419,34.419,34.419,34.419,0,0
UCG,D,19870922,000000,34.419,34.419,34.419,34.419,0,0
UCG,D,19870923,000000,34.419,34.419,34.419,34.419,0,0
UCG,D,19870924,000000,33.646,34.033,33.646,33.646,0,0
UCG,D,19870925,000000,34.225,34.419,34.225,34.225,0,0
UCG,D,19870928,000000,33.841,33.841,33.841,33.841,0,0
UCG,D,19870929,000000,33.261,33.261,33.261,33.261,0,0
UCG,D,19870930,000000,33.066,33.066,33.066,33.066,0,0
UCG,D,19871001,000000,32.485,32.485,32.485,32.485,0,0
UCG,D,19871002,000000,32.485,32.485,32.485,32.485,0,0
UCG,D,19871005,000000,32.681,32.681,32.681,32.681,0,0
UCG,D,19871006,000000,32.874,33.261,32.874,32.874,0,0
UCG,D,19871007,000000,33.261,33.261,33.261,33.261,0,0
UCG,D,19871008,000000,32.874,35.577,32.874,32.874,0,0
UCG,D,19871009,000000,35.577,35.965,35.194,35.389,0,0
UCG,D,19871012,000000,36.162,40.028,36.162,37.899,0,0
UCG,D,19871013,000000,40.028,41.574,39.061,40.217,0,0
UCG,D,19871014,000000,39.252,40.028,38.675,39.639,0,0
UCG,D,19871015,000000,39.639,40.028,38.864,38.864,0,0
UCG,D,19871016,000000,38.48,38.48,35.965,35.965,0,0
UCG,D,19871019,000000,34.225,34.225,33.646,34.225,0,0
UCG,D,19871020,000000,32.485,33.646,32.485,32.485,0,0
UCG,D,19871021,000000,33.646,34.419,33.646,34.419,0,0
UCG,D,19871022,000000,34.033,34.033,34.033,34.033,0,0
UCG,D,19871023,000000,32.681,32.681,32.681,32.681,0,0
UCG,D,19871026,000000,31.326,31.326,30.747,31.326,0,0
UCG,D,19871027,000000,31.711,31.711,31.711,31.711,0,0
UCG,D,19871028,000000,31.133,31.133,29.585,31.133,0,0
UCG,D,19871029,000000,29.585,30.553,29.585,29.585,0,0
UCG,D,19871030,000000,30.361,31.711,30.361,31.711,0,0
UCG,D,19871102,000000,30.553,30.553,30.553,30.553,0,0
UCG,D,19871103,000000,30.361,30.361,30.361,30.361,0,0
UCG,D,19871104,000000,29.585,29.585,29.585,29.585,0,0
UCG,D,19871105,000000,27.848,27.848,27.848,27.848,0,0
UCG,D,19871106,000000,27.651,27.651,27.264,27.651,0,0
UCG,D,19871109,000000,26.684,26.684,26.684,26.684,0,0
UCG,D,19871110,000000,26.297,27.651,26.297,26.877,0,0
UCG,D,19871111,000000,27.651,28.036,27.651,27.651,0,0
UCG,D,19871112,000000,28.426,28.621,28.426,28.426,0,0
UCG,D,19871113,000000,28.621,28.621,28.621,28.621,0,0
UCG,D,19871116,000000,29.391,29.391,29.391,29.391,0,0
UCG,D,19871117,000000,29.971,29.971,29.971,29.971,0,0
UCG,D,19871118,000000,29.971,30.553,29.971,30.361,0,0
UCG,D,19871119,000000,30.361,30.361,30.361,30.361,0,0
