<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULM,D,19970521,000000,12.052,12.052,12.052,12.052,147660,0
ULM,D,19970522,000000,12.588,12.588,12.588,12.588,118637,0
ULM,D,19970523,000000,11.917,11.917,11.917,11.917,52990,0
ULM,D,19970526,000000,11.516,11.516,11.516,11.516,61826,0
ULM,D,19970527,000000,11.314,11.314,11.314,11.314,43783,0
ULM,D,19970528,000000,11.449,11.449,11.449,11.449,36599,0
ULM,D,19970530,000000,12.052,12.052,12.052,12.052,24437,0
ULM,D,19970602,000000,12.721,12.721,12.721,12.721,24761,0
ULM,D,19970603,000000,13.323,13.323,13.323,13.323,111119,0
ULM,D,19970604,000000,13.189,13.189,13.189,13.189,41546,0
ULM,D,19970605,000000,13.057,13.057,13.057,13.057,54192,0
ULM,D,19970606,000000,13.659,13.659,13.659,13.659,52973,0
ULM,D,19970609,000000,14.73,14.73,14.73,14.73,60456,0
ULM,D,19970610,000000,14.73,14.73,14.73,14.73,32447,0
ULM,D,19970611,000000,16.203,16.203,16.203,16.203,52678,0
ULM,D,19970612,000000,17.34,17.34,17.34,17.34,68280,0
ULM,D,19970613,000000,17.34,17.34,17.34,17.34,43267,0
ULM,D,19970616,000000,16.67,16.67,16.67,16.67,28426,0
ULM,D,19970617,000000,15.935,15.935,15.935,15.935,43127,0
ULM,D,19970618,000000,15.733,15.733,15.733,15.733,24608,0
ULM,D,19970619,000000,15.533,15.533,15.533,15.533,30677,0
ULM,D,19970620,000000,15.667,15.667,15.667,15.667,37308,0
ULM,D,19970623,000000,15.131,15.131,15.131,15.131,19496,0
ULM,D,19970624,000000,13.859,13.859,13.859,13.859,22799,0
ULM,D,19970625,000000,13.859,13.859,13.859,13.859,32326,0
ULM,D,19970626,000000,13.458,13.458,13.458,13.458,6303,0
ULM,D,19970627,000000,13.792,13.792,13.792,13.792,17582,0
ULM,D,19970630,000000,13.792,13.792,13.792,13.792,20553,0
ULM,D,19970701,000000,13.592,13.592,13.592,13.592,14204,0
ULM,D,19970702,000000,13.458,13.458,13.458,13.458,20166,0
ULM,D,19970703,000000,13.524,13.524,13.524,13.524,86109,0
ULM,D,19970704,000000,14.127,14.127,14.127,14.127,59813,0
ULM,D,19970707,000000,13.859,13.859,13.859,13.859,18870,0
ULM,D,19970708,000000,13.057,13.057,13.057,13.057,16468,0
ULM,D,19970709,000000,13.524,13.524,13.524,13.524,31757,0
ULM,D,19970710,000000,13.391,13.391,13.391,13.391,38048,0
ULM,D,19970711,000000,13.256,13.256,13.256,13.256,19652,0
ULM,D,19970714,000000,11.985,11.985,11.985,11.985,84111,0
ULM,D,19970715,000000,11.985,11.985,11.985,11.985,31499,0
ULM,D,19970716,000000,12.588,12.588,12.588,12.588,91801,0
ULM,D,19970717,000000,13.524,13.524,13.524,13.524,80648,0
ULM,D,19970718,000000,13.524,13.524,13.524,13.524,59855,0
ULM,D,19970721,000000,12.988,12.988,12.988,12.988,28255,0
ULM,D,19970722,000000,13.391,13.391,13.391,13.391,51043,0
ULM,D,19970723,000000,13.123,13.123,13.123,13.123,18211,0
ULM,D,19970724,000000,12.854,12.854,12.854,12.854,20575,0
ULM,D,19970725,000000,12.453,12.453,12.453,12.453,17504,0
ULM,D,19970728,000000,12.118,12.118,12.118,12.118,15473,0
ULM,D,19970729,000000,12.386,12.386,12.386,12.386,10859,0
ULM,D,19970730,000000,12.788,12.788,12.788,12.788,18064,0
ULM,D,19970731,000000,13.057,13.057,13.057,13.057,37838,0
ULM,D,19970801,000000,12.788,12.788,12.788,12.788,14703,0
ULM,D,19970804,000000,13.057,13.057,13.057,13.057,18268,0
ULM,D,19970805,000000,13.057,13.057,13.057,13.057,42128,0
ULM,D,19970806,000000,13.057,13.057,13.057,13.057,3409,0
ULM,D,19970807,000000,12.788,12.788,12.788,12.788,3986,0
ULM,D,19970808,000000,13.256,13.256,13.256,13.256,32852,0
ULM,D,19970811,000000,13.792,13.792,13.792,13.792,25415,0
ULM,D,19970812,000000,13.323,13.323,13.323,13.323,39460,0
ULM,D,19970813,000000,13.391,13.391,13.391,13.391,30396,0
