<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNI,D,20080408,000000,7.3926,7.8241,7.3769,7.5419,315330,0
UNI,D,20080409,000000,7.4712,7.5732,7.4712,7.5339,163321,0
UNI,D,20080410,000000,7.5183,7.5495,7.5025,7.5339,81758,0
UNI,D,20080411,000000,7.5573,7.6202,7.5573,7.6125,26679,0
UNI,D,20080414,000000,7.6125,7.6125,7.4633,7.5339,7683,0
UNI,D,20080415,000000,7.5339,7.5732,7.5339,7.5339,10059,0
UNI,D,20080416,000000,7.5105,7.5339,7.5105,7.5339,5250,0
UNI,D,20080417,000000,7.5339,7.5339,7.5025,7.5339,2392,0
UNI,D,20080418,000000,7.4633,7.5339,7.4633,7.5339,10959,0
UNI,D,20080421,000000,7.5419,7.5419,7.5339,7.5419,12863,0
UNI,D,20080422,000000,7.5653,7.5653,7.4867,7.5339,79005,0
UNI,D,20080423,000000,7.4398,7.5339,7.4398,7.5339,3232,0
UNI,D,20080424,000000,7.5339,7.5339,7.5339,7.5339,458,0
UNI,D,20080425,000000,7.5339,7.5339,7.385,7.3926,40189,0
UNI,D,20080428,000000,7.385,7.5183,7.385,7.5183,232,0
UNI,D,20080429,000000,7.5183,7.5183,7.5183,7.5183,156,0
UNI,D,20080430,000000,7.2984,7.6125,7.2984,7.6125,12755,0
UNI,D,20080505,000000,7.4555,7.5339,7.4555,7.5339,1696,0
UNI,D,20080506,000000,7.5339,7.5339,7.5339,7.5339,17,0
UNI,D,20080507,000000,7.5889,7.5889,7.5889,7.5889,128,0
UNI,D,20080508,000000,7.5889,7.5889,7.385,7.5339,39241,0
UNI,D,20080509,000000,7.6045,7.628,7.4555,7.6045,991,0
UNI,D,20080512,000000,7.6125,7.6125,7.6045,7.6125,39798,0
UNI,D,20080513,000000,7.6202,7.6202,7.4633,7.6202,905,0
UNI,D,20080514,000000,7.628,7.6909,7.5339,7.6909,5711,0
UNI,D,20080515,000000,7.7615,7.8477,7.6909,7.8477,2433,0
UNI,D,20080516,000000,7.9185,8.3268,7.9185,8.044,152618,0
UNI,D,20080519,000000,8.24,8.3963,8.24,8.3739,36754,0
UNI,D,20080520,000000,8.4755,8.625,8.3268,8.4518,2932,0
UNI,D,20080521,000000,8.4677,8.4677,8.2562,8.2562,3399,0
UNI,D,20080523,000000,8.0988,8.405,8.0988,8.405,2514,0
UNI,D,20080526,000000,8.4518,8.4755,8.1226,8.3963,334,0
UNI,D,20080527,000000,8.3963,8.3963,8.3821,8.3821,247,0
UNI,D,20080528,000000,8.3661,8.3739,8.3661,8.3739,141,0
UNI,D,20080529,000000,8.3739,8.3739,8.3739,8.3739,99,0
UNI,D,20080530,000000,8.4518,8.4518,8.319,8.319,146,0
UNI,D,20080602,000000,8.319,8.319,8.319,8.319,819,0
UNI,D,20080603,000000,8.319,8.319,8.319,8.319,193,0
UNI,D,20080604,000000,8.319,8.319,8.0912,8.0912,216,0
UNI,D,20080605,000000,8.1774,8.319,8.1774,8.1774,5968,0
UNI,D,20080606,000000,8.2562,8.2562,8.2485,8.2485,1420,0
UNI,D,20080609,000000,8.0048,8.319,7.7695,8.319,2469,0
UNI,D,20080610,000000,8.3033,8.3033,8.3033,8.3033,24,0
UNI,D,20080611,000000,8.2169,8.2169,8.2169,8.2169,64,0
UNI,D,20080612,000000,8.2246,8.2246,8.2246,8.2246,48,0
UNI,D,20080613,000000,8.24,8.24,8.24,8.24,59,0
UNI,D,20080616,000000,8.2169,8.2169,8.2169,8.2169,64,0
UNI,D,20080617,000000,7.9264,8.185,7.9264,8.185,912,0
UNI,D,20080618,000000,8.162,8.162,7.8636,8.162,424,0
UNI,D,20080619,000000,7.8636,7.9264,7.8636,7.9264,1756,0
UNI,D,20080620,000000,7.9185,8.0912,7.9185,8.0912,793,0
UNI,D,20080623,000000,7.9264,8.1927,7.9264,8.1543,60,0
UNI,D,20080624,000000,8.1381,8.1381,8.1226,8.1226,1186,0
UNI,D,20080625,000000,8.0754,8.0754,8.044,8.0676,205,0
UNI,D,20080626,000000,8.0048,8.0832,7.9654,8.0832,1530,0
UNI,D,20080627,000000,7.997,7.997,7.997,7.997,26,0
UNI,D,20080630,000000,8.0754,8.0754,8.0754,8.0754,26,0
UNI,D,20080701,000000,8.0912,8.0912,8.0832,8.0832,33,0
UNI,D,20080702,000000,8.0676,8.0676,8.0676,8.0676,28,0
UNI,D,20080703,000000,8.1226,8.1226,8.1226,8.1226,26,0
UNI,D,20080704,000000,8.0832,8.0832,8.0754,8.0754,26,0
UNI,D,20080707,000000,8.0832,8.0832,8.0832,8.0832,26,0
UNI,D,20080708,000000,7.9264,8.0754,7.9264,8.0754,758,0
UNI,D,20080709,000000,8.0754,8.0754,7.7695,8.0676,596,0
UNI,D,20080710,000000,8.0048,8.0048,8.0048,8.0048,31,0
UNI,D,20080711,000000,8.0048,8.0048,7.7695,8.0048,1514,0
UNI,D,20080714,000000,7.7695,8.0676,7.7695,7.9264,96,0
UNI,D,20080715,000000,7.6909,7.9654,7.6909,7.9654,1625,0
UNI,D,20080716,000000,8.0754,8.0754,7.997,7.997,981,0
UNI,D,20080717,000000,7.8477,8.0048,7.6909,7.6909,782,0
UNI,D,20080718,000000,8.0676,8.0676,7.6909,7.6909,242,0
UNI,D,20080721,000000,8.0676,8.0676,8.0676,8.0676,89,0
UNI,D,20080722,000000,7.8477,7.8477,7.8477,7.8477,637,0
UNI,D,20080723,000000,7.8477,7.8477,7.8477,7.8477,96,0
UNI,D,20080724,000000,7.8477,7.8477,7.8477,7.8477,382,0
UNI,D,20080725,000000,7.8477,7.8477,7.6909,7.8477,433,0
UNI,D,20080728,000000,8.0048,8.0048,8.0048,8.0048,26,0
UNI,D,20080729,000000,8.0048,8.0048,7.997,7.997,26,0
UNI,D,20080730,000000,8.0048,8.0048,7.9654,7.9654,26,0
UNI,D,20080731,000000,7.8477,7.8477,7.6909,7.6909,177,0
UNI,D,20080801,000000,7.8477,7.8477,7.6909,7.8477,2027,0
UNI,D,20080804,000000,7.8477,7.8477,7.8477,7.8477,26,0
UNI,D,20080805,000000,7.8477,7.8477,7.8402,7.8402,26,0
UNI,D,20080806,000000,8.0048,8.0048,7.8477,7.8477,35,0
UNI,D,20080807,000000,7.6125,7.8477,7.6125,7.8477,1960,0
UNI,D,20080808,000000,7.7695,7.7695,7.5339,7.7695,544,0
UNI,D,20080811,000000,7.8477,8.044,7.7695,7.7695,890,0
UNI,D,20080812,000000,8.0048,8.0048,8.0048,8.0048,28,0
UNI,D,20080813,000000,8.0206,8.319,7.942,8.319,7601,0
UNI,D,20080814,000000,8.1774,8.3963,8.1774,8.3963,4001,0
UNI,D,20080818,000000,8.24,8.625,8.24,8.625,1060,0
UNI,D,20080819,000000,8.24,8.24,8.24,8.24,909,0
UNI,D,20080820,000000,8.0048,8.3739,8.0048,8.3739,958,0
UNI,D,20080821,000000,8.3963,8.3963,8.3963,8.3963,2,0
UNI,D,20080822,000000,8.162,8.4369,8.0676,8.3963,80950,0
UNI,D,20080825,000000,8.24,8.3963,8.162,8.3963,280590,0
UNI,D,20080827,000000,8.405,8.405,8.405,8.405,382,0
UNI,D,20080829,000000,8.4755,8.4755,8.0912,8.3963,6373,0
UNI,D,20080901,000000,8.1774,8.4518,8.162,8.4518,4685,0
UNI,D,20080902,000000,8.4209,8.4289,8.2169,8.4289,8260,0
UNI,D,20080903,000000,8.3963,8.3963,7.6125,7.8477,1159252,0
UNI,D,20080904,000000,7.989,8.3112,7.989,8.1927,6731,0
UNI,D,20080905,000000,8.319,8.5152,7.9264,8.2014,9729,0
UNI,D,20080908,000000,8.2323,8.2323,8.2323,8.2323,2675,0
UNI,D,20080909,000000,8.0283,8.4289,8.0283,8.3583,4306,0
UNI,D,20080910,000000,8.3583,8.3583,8.3583,8.3583,24,0
UNI,D,20080911,000000,8.3963,8.3963,8.24,8.3661,2055,0
UNI,D,20080912,000000,8.1226,8.24,8.0048,8.24,4001,0
UNI,D,20080915,000000,8.3583,8.3583,8.0048,8.0048,995,0
UNI,D,20080916,000000,7.7695,7.9264,7.6909,7.8402,4440,0
UNI,D,20080917,000000,8.0048,8.0048,7.3375,7.6516,7502,0
UNI,D,20080918,000000,7.4162,7.4948,7.4162,7.4555,2271,0
UNI,D,20080919,000000,7.4633,7.4633,7.4555,7.4555,1294,0
UNI,D,20080922,000000,7.2984,7.4555,7.2984,7.4555,3150,0
UNI,D,20080923,000000,7.2592,7.2592,7.0631,7.2199,3323,0
UNI,D,20080924,000000,7.2122,7.2122,7.2122,7.2122,82,0
UNI,D,20080925,000000,7.2199,7.2199,7.0631,7.0631,1139,0
UNI,D,20080926,000000,7.0631,7.3769,7.0238,7.3769,2848,0
UNI,D,20080929,000000,7.2199,7.4555,7.2199,7.4555,1425,0
UNI,D,20080930,000000,7.2199,7.2199,7.1021,7.2199,2570,0
UNI,D,20081001,000000,7.4318,7.4555,7.2199,7.4555,3824,0
UNI,D,20081002,000000,7.6045,7.6045,7.3769,7.4555,658,0
UNI,D,20081003,000000,7.4948,7.4948,7.1808,7.1808,1326,0
UNI,D,20081006,000000,6.7884,7.0631,6.7884,7.0631,3625,0
UNI,D,20081007,000000,6.9533,7.2984,6.9452,7.2984,1911,0
UNI,D,20081008,000000,6.8669,7.2199,6.8669,7.2122,2671,0
UNI,D,20081009,000000,7.2122,7.2122,7.2122,7.2122,26,0
UNI,D,20081010,000000,6.7963,7.1808,6.7884,7.1808,2716,0
UNI,D,20081013,000000,7.2199,7.2199,7.2199,7.2199,26,0
UNI,D,20081014,000000,7.2199,7.2592,7.2199,7.2199,2576,0
UNI,D,20081015,000000,6.9217,7.2436,6.906,6.9139,1452,0
UNI,D,20081016,000000,6.906,6.906,6.906,6.906,26,0
UNI,D,20081017,000000,6.9452,6.9452,6.906,6.906,84,0
UNI,D,20081020,000000,7.0631,7.0631,7.0631,7.0631,10,0
UNI,D,20081021,000000,7.1021,7.1336,7.1021,7.1336,652,0
UNI,D,20081022,000000,7.11,7.11,7.11,7.11,10,0
UNI,D,20081023,000000,6.7492,7.1021,6.2859,7.1021,1593,0
UNI,D,20081024,000000,6.7492,7.0631,6.6707,7.0631,1722,0
UNI,D,20081027,000000,7.0159,7.0159,6.7492,6.9768,2245,0
UNI,D,20081028,000000,6.9452,6.9452,6.9452,6.9452,26,0
UNI,D,20081029,000000,6.7492,6.7492,6.7492,6.7492,1116,0
UNI,D,20081030,000000,6.4352,6.6315,6.4352,6.4352,1168,0
UNI,D,20081031,000000,6.5922,6.5922,6.5922,6.5922,1,0
