<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
URS,D,20071227,000000,3.7241,3.7241,3.341,3.4835,130227,0
URS,D,20071228,000000,3.4746,3.5548,3.4568,3.5548,72413,0
URS,D,20080102,000000,3.5637,3.635,3.5637,3.5815,5794,0
URS,D,20080103,000000,3.6083,3.6083,3.439,3.5191,10270,0
URS,D,20080104,000000,3.5726,3.5726,3.3856,3.5191,9973,0
URS,D,20080107,000000,3.4746,3.4746,3.2073,3.3678,13360,0
URS,D,20080108,000000,3.3856,3.3856,3.2073,3.2786,8412,0
URS,D,20080109,000000,3.2163,3.2163,2.949,3.1628,7266,0
URS,D,20080110,000000,3.1895,3.1895,2.9401,2.9846,13997,0
URS,D,20080111,000000,3.145,3.145,2.7618,2.8154,25125,0
URS,D,20080114,000000,2.9223,3.0648,2.6728,3.0558,16468,0
URS,D,20080115,000000,2.9668,3.047,2.5837,2.9223,31344,0
URS,D,20080116,000000,2.7618,2.9401,2.6728,2.7262,5986,0
URS,D,20080117,000000,2.8866,2.8955,2.8064,2.8777,6101,0
URS,D,20080118,000000,2.851,2.851,2.6371,2.851,32933,0
URS,D,20080121,000000,2.7084,2.9045,2.6283,2.851,788,0
URS,D,20080122,000000,2.8242,2.9401,2.7618,2.7975,2052,0
URS,D,20080123,000000,3.2608,3.2608,2.6283,2.6283,677,0
URS,D,20080124,000000,2.851,2.9846,2.6728,2.9846,6707,0
URS,D,20080125,000000,3.4479,3.4479,2.9401,3.2519,1824,0
URS,D,20080128,000000,2.9401,3.1182,2.9401,3.1094,10744,0
URS,D,20080129,000000,3.1182,3.1182,3.0292,3.1182,4948,0
URS,D,20080130,000000,3.038,3.1182,3.0292,3.1182,2362,0
URS,D,20080131,000000,3.1985,3.1985,2.9935,3.1985,1816,0
URS,D,20080201,000000,3.341,3.3588,3.1628,3.2073,5978,0
URS,D,20080204,000000,3.2163,3.2964,3.1272,3.2964,4021,0
URS,D,20080205,000000,3.2163,3.2875,3.2163,3.2875,1162,0
URS,D,20080206,000000,3.2073,3.2519,3.1094,3.2519,2091,0
URS,D,20080207,000000,3.243,3.2519,3.243,3.2519,1927,0
URS,D,20080208,000000,3.2519,3.3321,3.2519,3.3321,34852,0
URS,D,20080211,000000,3.2786,3.3499,3.2786,3.2875,4689,0
URS,D,20080212,000000,3.2875,3.2875,3.0024,3.2875,2259,0
URS,D,20080213,000000,3.2875,3.341,3.2786,3.341,1530,0
URS,D,20080214,000000,3.3588,3.3856,3.3588,3.3678,6464,0
URS,D,20080218,000000,3.341,3.4301,3.1272,3.341,2470,0
URS,D,20080219,000000,3.3054,3.4212,3.3054,3.4212,5947,0
URS,D,20080220,000000,3.4746,3.4746,3.2519,3.4212,1184,0
URS,D,20080221,000000,3.4122,3.5103,3.341,3.5103,2418,0
URS,D,20080222,000000,3.4212,3.4212,3.3499,3.4212,3241,0
URS,D,20080225,000000,3.3856,3.4212,3.3856,3.4212,3430,0
URS,D,20080226,000000,3.4034,3.4212,3.2608,3.4212,2700,0
URS,D,20080227,000000,3.3054,3.4122,3.2608,3.4034,2046,0
