<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VGO,D,20141125,000000,176.59,185.89,175.2,185.89,23119,0
VGO,D,20141126,000000,190.82,198.9,186.82,195.18,7575,0
VGO,D,20141127,000000,198.71,198.71,188.21,191.09,3486,0
VGO,D,20141128,000000,192.11,198.71,187.75,197.05,4082,0
VGO,D,20141201,000000,198.07,198.07,193.32,196.58,353,0
VGO,D,20141202,000000,193.98,197.05,193.88,195.23,604,0
VGO,D,20141203,000000,196.11,196.11,189.61,193.23,1031,0
VGO,D,20141204,000000,191.93,192.85,191.93,192.39,682,0
VGO,D,20141205,000000,192.16,193.27,191.93,193.27,537,0
VGO,D,20141208,000000,193.27,193.27,191.93,192.35,686,0
VGO,D,20141209,000000,191.93,192.39,188.78,192.02,1182,0
VGO,D,20141210,000000,189.61,191.28,189.14,189.74,214,0
VGO,D,20141211,000000,189.7,189.7,177.8,180.31,1751,0
VGO,D,20141212,000000,181.23,184.49,180.4,182.17,378,0
VGO,D,20141215,000000,181.7,184.31,181.23,184.31,162,0
VGO,D,20141216,000000,184.31,184.35,179.76,183.98,359,0
VGO,D,20141217,000000,184.35,184.35,181.23,181.23,67,0
VGO,D,20141218,000000,181.23,183.1,180.31,180.31,471,0
VGO,D,20141219,000000,178.54,178.92,177.62,177.99,245,0
VGO,D,20141222,000000,177.62,181.23,177.53,179.39,276,0
VGO,D,20141223,000000,177.62,178.92,177.62,178.92,113,0
VGO,D,20141229,000000,178.46,179.47,178.46,178.46,145,0
VGO,D,20141230,000000,179.52,184.03,179.52,184.03,2556,0
VGO,D,20150102,000000,184.03,188.58,181.23,183.34,250,0
VGO,D,20150105,000000,184.49,184.49,183.56,184.03,265,0
VGO,D,20150107,000000,184.03,184.03,179.39,184.03,81,0
VGO,D,20150108,000000,184.49,184.49,181.23,184.03,88,0
VGO,D,20150109,000000,184.86,184.86,181.06,181.06,6087,0
VGO,D,20150112,000000,181.23,182.08,181.06,181.23,1392,0
VGO,D,20150113,000000,179.47,179.85,175.3,175.67,8926,0
VGO,D,20150114,000000,175.3,175.3,168.23,171.94,7198,0
VGO,D,20150115,000000,171.94,171.94,164.7,171.82,2432,0
VGO,D,20150116,000000,169.62,171.82,167.3,171.82,2032,0
VGO,D,20150119,000000,170.46,171.82,167.62,171.82,4963,0
VGO,D,20150120,000000,168.23,179.85,168.23,179.85,32477,0
VGO,D,20150121,000000,177.53,179.85,174.73,179.85,166,0
VGO,D,20150122,000000,177.53,179.85,177.53,179.8,302,0
VGO,D,20150123,000000,177.53,179.39,177.53,179.39,170,0
VGO,D,20150126,000000,177.53,179.8,177.53,179.57,227,0
VGO,D,20150127,000000,179.8,179.8,179.8,179.8,54,0
VGO,D,20150128,000000,177.53,177.53,177.11,177.11,223,0
VGO,D,20150129,000000,177.11,179.39,177.11,179.39,406,0
VGO,D,20150130,000000,177.11,179.39,177.11,179.39,240,0
VGO,D,20150202,000000,177.11,179.29,177.11,179.29,36,0
VGO,D,20150203,000000,177.11,178.41,177.11,178.41,98,0
VGO,D,20150204,000000,175.67,177.53,172.97,177.53,5515,0
VGO,D,20150206,000000,172.97,172.97,172.97,172.97,268,0
VGO,D,20150209,000000,172.88,172.88,172.83,172.83,36,0
VGO,D,20150210,000000,172.46,172.88,167.3,172.88,227,0
VGO,D,20150211,000000,168.23,172.88,168.23,172.88,44,0
VGO,D,20150212,000000,172.88,172.88,167.3,172.88,88,0
VGO,D,20150216,000000,172.88,177.43,172.88,176.59,503,0
VGO,D,20150217,000000,176.59,181.11,176.59,176.59,5555,0
VGO,D,20150218,000000,174.73,175.67,174.73,175.67,13,0
VGO,D,20150219,000000,176.13,182.17,171.02,182.17,2388,0
VGO,D,20150220,000000,181.23,182.64,181.23,182.64,15,0
