<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIN,D,20090323,000000,5.5154,7.7217,5.5154,6.6185,32084,0
VIN,D,20090324,000000,6.1518,6.6185,5.5832,6.6185,2238,0
VIN,D,20090325,000000,6.1095,7.2124,6.1095,6.296,3775,0
VIN,D,20090326,000000,6.279,6.7882,5.77,6.7882,1841,0
VIN,D,20090327,000000,6.3639,6.3639,6.3639,6.3639,589,0
VIN,D,20090330,000000,6.1095,6.7882,6.1095,6.3639,1639,0
VIN,D,20090331,000000,6.7712,7.1955,6.7712,6.9154,3885,0
VIN,D,20090401,000000,6.6185,6.9154,6.6185,6.8731,673,0
VIN,D,20090402,000000,6.8731,6.958,6.8731,6.958,2992,0
VIN,D,20090403,000000,7.1869,7.1869,6.6609,6.6609,4322,0
VIN,D,20090406,000000,7.1191,7.1276,6.6778,6.6778,1661,0
VIN,D,20090407,000000,6.6778,7.2124,6.6778,7.2039,3489,0
VIN,D,20090408,000000,7.2124,7.6366,6.7034,6.7882,4631,0
VIN,D,20090409,000000,6.7882,7.17,6.3639,6.4063,3037,0
VIN,D,20090414,000000,6.4487,6.6185,6.3639,6.3639,11090,0
VIN,D,20090415,000000,7.2039,7.2039,6.3893,6.6099,9078,0
VIN,D,20090416,000000,6.4573,6.4573,5.7022,5.9226,11885,0
VIN,D,20090417,000000,6.1095,6.1689,5.8973,5.8973,4257,0
VIN,D,20090420,000000,5.9397,5.9397,5.4729,5.4729,2791,0
VIN,D,20090421,000000,5.4305,5.4305,5.2184,5.2184,1180,0
VIN,D,20090422,000000,5.3033,5.4305,5.3033,5.3881,2226,0
VIN,D,20090423,000000,5.6766,5.6766,5.5747,5.5747,2910,0
VIN,D,20090424,000000,5.8122,5.8122,5.5832,5.5832,172,0
VIN,D,20090427,000000,5.77,6.1095,5.77,6.1095,321,0
VIN,D,20090428,000000,6.0416,6.0416,5.8548,5.8548,253,0
VIN,D,20090429,000000,5.8548,6.1095,5.8463,5.8463,2891,0
VIN,D,20090430,000000,6.279,6.279,5.227,5.227,5476,0
VIN,D,20090504,000000,6.2706,6.279,5.7276,5.7276,9245,0
VIN,D,20090505,000000,6.262,6.262,5.8122,5.8122,887,0
VIN,D,20090506,000000,5.736,5.8548,5.5154,5.8548,3122,0
VIN,D,20090507,000000,6.1095,6.1095,5.685,5.685,3759,0
VIN,D,20090508,000000,6.0416,6.0416,5.5408,5.821,2317,0
VIN,D,20090511,000000,5.8463,5.8463,5.4391,5.5154,8162,0
VIN,D,20090512,000000,5.5068,5.5068,5.3286,5.3457,6421,0
VIN,D,20090513,000000,5.4391,5.4391,5.0912,5.0912,8111,0
VIN,D,20090514,000000,5.3457,5.3457,5.142,5.142,2184,0
VIN,D,20090515,000000,5.1761,5.1761,5.1336,5.1336,525,0
