<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTI,D,20100607,000000,0.57,0.64,0.52,0.52,164242,0
VTI,D,20100608,000000,0.54,0.57,0.5,0.54,122676,0
VTI,D,20100609,000000,0.55,0.57,0.5,0.54,31103,0
VTI,D,20100610,000000,0.56,0.57,0.5,0.55,29782,0
VTI,D,20100611,000000,0.55,0.55,0.5,0.5,30915,0
VTI,D,20100614,000000,0.5,0.53,0.5,0.53,8030,0
VTI,D,20100615,000000,0.53,0.6,0.53,0.58,51617,0
VTI,D,20100616,000000,0.59,0.6,0.56,0.56,6631,0
VTI,D,20100617,000000,0.6,0.64,0.6,0.64,4864,0
VTI,D,20100618,000000,0.64,0.64,0.54,0.54,22646,0
VTI,D,20100621,000000,0.57,0.63,0.55,0.63,15183,0
VTI,D,20100622,000000,0.61,0.61,0.55,0.55,550,0
VTI,D,20100623,000000,0.56,0.56,0.49,0.5,83384,0
VTI,D,20100624,000000,0.46,0.46,0.46,0.46,1818,0
VTI,D,20100625,000000,0.44,0.51,0.44,0.47,32935,0
VTI,D,20100628,000000,0.47,0.52,0.46,0.48,18701,0
VTI,D,20100629,000000,0.45,0.45,0.4,0.42,43479,0
VTI,D,20100630,000000,0.42,0.44,0.4,0.44,14590,0
VTI,D,20100701,000000,0.44,0.44,0.38,0.42,4517,0
VTI,D,20100702,000000,0.39,0.39,0.39,0.39,1,0
VTI,D,20100705,000000,0.42,0.42,0.42,0.42,200,0
VTI,D,20100706,000000,0.42,0.42,0.42,0.42,100,0
VTI,D,20100707,000000,0.42,0.42,0.39,0.39,401,0
VTI,D,20100708,000000,0.39,0.41,0.39,0.41,2615,0
VTI,D,20100709,000000,0.42,0.42,0.39,0.39,300,0
VTI,D,20100712,000000,0.39,0.41,0.39,0.41,2625,0
VTI,D,20100714,000000,0.39,0.39,0.39,0.39,301,0
VTI,D,20100715,000000,0.39,0.41,0.39,0.41,801,0
VTI,D,20100716,000000,0.41,0.48,0.41,0.46,18000,0
