<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTL,D,20140108,000000,10.397,11.802,10.397,11.474,158958,0
VTL,D,20140109,000000,11.474,11.943,11.381,11.839,115921,0
VTL,D,20140110,000000,11.849,11.99,11.709,11.802,29836,0
VTL,D,20140113,000000,11.662,12.646,11.662,12.448,52851,0
VTL,D,20140114,000000,12.177,12.599,12.177,12.495,55281,0
VTL,D,20140115,000000,12.43,12.917,12.43,12.552,25960,0
VTL,D,20140116,000000,12.552,12.683,12.42,12.636,36356,0
VTL,D,20140117,000000,12.646,12.992,12.646,12.879,14099,0
VTL,D,20140120,000000,13.058,13.058,12.57,12.954,9335,0
VTL,D,20140121,000000,12.954,13.582,12.832,13.582,112388,0
VTL,D,20140122,000000,13.667,13.938,13.488,13.854,37438,0
VTL,D,20140123,000000,13.844,14.331,13.722,13.854,76903,0
VTL,D,20140124,000000,13.9,14.05,13.582,13.91,30533,0
VTL,D,20140127,000000,13.863,13.947,13.263,13.947,22161,0
VTL,D,20140128,000000,13.956,14.04,13.779,14.04,14397,0
VTL,D,20140129,000000,14.05,14.284,13.919,14.05,24191,0
VTL,D,20140130,000000,14.05,14.05,13.507,13.9,16563,0
VTL,D,20140131,000000,14.003,14.003,13.31,13.394,43103,0
VTL,D,20140203,000000,13.385,13.919,13.301,13.807,15010,0
VTL,D,20140204,000000,13.807,13.807,13.563,13.788,14471,0
VTL,D,20140205,000000,13.769,14.275,13.769,14.266,43571,0
VTL,D,20140206,000000,14.36,14.837,14.36,14.612,54638,0
VTL,D,20140207,000000,14.781,15.081,14.753,15.081,122252,0
VTL,D,20140210,000000,15.362,15.923,15.362,15.736,164167,0
VTL,D,20140211,000000,16.064,17.254,16.064,16.673,112849,0
VTL,D,20140212,000000,16.767,16.767,16.017,16.345,95938,0
VTL,D,20140213,000000,16.345,16.345,16.017,16.251,13354,0
VTL,D,20140214,000000,16.167,16.392,16.12,16.345,24783,0
VTL,D,20140217,000000,16.664,16.767,16.204,16.757,75302,0
VTL,D,20140218,000000,17.048,17.141,16.673,16.691,67870,0
VTL,D,20140219,000000,16.691,16.691,16.345,16.532,21850,0
VTL,D,20140220,000000,16.392,16.485,16.298,16.485,12508,0
VTL,D,20140221,000000,16.701,16.71,16.41,16.71,24869,0
VTL,D,20140224,000000,16.673,16.673,16.579,16.673,8525,0
VTL,D,20140225,000000,16.589,16.673,16.401,16.664,8138,0
VTL,D,20140226,000000,16.664,16.664,16.13,16.383,13611,0
VTL,D,20140227,000000,16.251,16.345,16.12,16.336,7289,0
VTL,D,20140228,000000,16.392,16.392,16.176,16.27,14746,0
VTL,D,20140303,000000,15.596,15.764,14.154,14.678,89677,0
VTL,D,20140304,000000,14.696,15.829,14.696,15.409,22602,0
VTL,D,20140305,000000,15.961,15.961,15.268,15.352,26412,0
VTL,D,20140306,000000,15.362,15.456,14.8,15.456,18076,0
VTL,D,20140307,000000,15.362,15.362,15.034,15.362,6010,0
VTL,D,20140310,000000,14.987,15.071,14.8,15.024,8857,0
VTL,D,20140311,000000,15.081,15.081,14.659,14.659,11860,0
VTL,D,20140312,000000,14.388,14.977,13.582,14.144,49376,0
VTL,D,20140313,000000,14.05,14.144,13.329,13.816,28674,0
VTL,D,20140314,000000,13.207,13.704,12.795,13.488,46640,0
VTL,D,20140317,000000,13.263,14.987,13.263,14.8,38954,0
VTL,D,20140318,000000,14.875,15.034,14.425,15.034,9120,0
VTL,D,20140319,000000,14.987,15.268,14.509,14.519,20494,0
VTL,D,20140320,000000,14.79,14.79,14.331,14.341,14967,0
VTL,D,20140321,000000,14.594,14.781,14.331,14.519,5808,0
VTL,D,20140324,000000,15.456,15.923,14.659,15.23,103106,0
VTL,D,20140325,000000,15.315,15.886,14.949,15.829,121585,0
VTL,D,20140326,000000,15.829,16.251,15.829,16.074,127519,0
VTL,D,20140327,000000,16.102,16.111,15.868,16.111,17836,0
VTL,D,20140328,000000,16.064,16.064,15.511,15.923,10935,0
VTL,D,20140331,000000,16.017,16.017,15.783,15.829,947,0
VTL,D,20140401,000000,16.008,16.008,15.811,15.829,3709,0
VTL,D,20140402,000000,15.829,16.008,15.596,15.98,13978,0
VTL,D,20140403,000000,15.97,16.045,15.446,16.017,22713,0
VTL,D,20140404,000000,15.829,16.017,15.829,16.008,2383,0
VTL,D,20140407,000000,15.821,16.008,15.54,15.876,15187,0
VTL,D,20140408,000000,15.642,15.876,15.474,15.876,4277,0
VTL,D,20140409,000000,15.829,16.008,15.511,16.008,19452,0
VTL,D,20140410,000000,15.876,15.923,15.876,15.923,1890,0
VTL,D,20140411,000000,15.642,15.829,15.549,15.829,6428,0
VTL,D,20140414,000000,15.829,15.829,14.8,15.54,16345,0
VTL,D,20140415,000000,15.099,15.389,14.996,15.296,4075,0
VTL,D,20140416,000000,14.996,15.118,14.8,15.024,12482,0
VTL,D,20140417,000000,14.987,15.446,14.987,15.249,6181,0
VTL,D,20140422,000000,14.706,15.352,14.706,15.352,4945,0
VTL,D,20140423,000000,15.362,15.642,15.277,15.446,5529,0
VTL,D,20140424,000000,15.381,15.633,14.696,14.969,4409,0
VTL,D,20140425,000000,14.753,14.987,14.753,14.902,956,0
VTL,D,20140428,000000,14.715,14.753,14.706,14.753,5859,0
VTL,D,20140429,000000,14.631,14.959,14.631,14.959,591,0
VTL,D,20140430,000000,14.959,15.099,14.762,14.8,546,0
VTL,D,20140502,000000,15.053,15.053,14.771,14.771,953,0
VTL,D,20140505,000000,14.771,15.081,14.706,15.081,7575,0
VTL,D,20140506,000000,15.071,15.071,14.706,14.987,1145,0
VTL,D,20140507,000000,14.893,14.893,14.06,14.06,11794,0
VTL,D,20140508,000000,14.247,14.519,14.247,14.519,6139,0
VTL,D,20140509,000000,14.519,14.519,14.05,14.238,6592,0
VTL,D,20140512,000000,14.238,14.519,14.191,14.519,1173,0
VTL,D,20140513,000000,14.519,14.519,14.303,14.425,13775,0
VTL,D,20140514,000000,14.097,14.519,14.097,14.519,2588,0
VTL,D,20140515,000000,14.519,14.987,14.378,14.8,15871,0
VTL,D,20140516,000000,14.977,14.977,14.378,14.547,3558,0
VTL,D,20140519,000000,14.781,14.8,14.069,14.069,50951,0
VTL,D,20140520,000000,14.069,14.706,14.069,14.5,8349,0
VTL,D,20140521,000000,14.49,14.8,14.49,14.8,5910,0
VTL,D,20140522,000000,14.481,14.987,14.378,14.893,8745,0
VTL,D,20140523,000000,14.893,14.893,14.566,14.753,524,0
VTL,D,20140526,000000,14.425,14.743,14.425,14.649,772,0
VTL,D,20140527,000000,14.706,14.893,14.425,14.762,2909,0
VTL,D,20140528,000000,14.94,14.94,14.574,14.696,724,0
VTL,D,20140529,000000,14.696,14.706,14.566,14.659,1510,0
VTL,D,20140530,000000,14.659,14.94,14.659,14.828,1612,0
VTL,D,20140602,000000,14.837,14.837,14.444,14.8,2187,0
VTL,D,20140603,000000,14.584,14.8,14.584,14.79,2623,0
VTL,D,20140604,000000,14.8,14.8,14.322,14.472,14544,0
VTL,D,20140605,000000,14.509,14.519,14.472,14.519,3304,0
VTL,D,20140606,000000,14.574,14.574,14.434,14.519,1357,0
VTL,D,20140609,000000,14.612,14.893,14.612,14.612,1068,0
VTL,D,20140610,000000,14.743,14.743,14.425,14.519,6121,0
VTL,D,20140611,000000,14.397,14.519,14.209,14.519,5065,0
VTL,D,20140612,000000,14.425,14.5,14.162,14.5,1896,0
VTL,D,20140613,000000,14.519,14.519,14.368,14.462,347,0
VTL,D,20140616,000000,14.378,14.472,14.172,14.472,2017,0
VTL,D,20140617,000000,14.472,14.519,14.2,14.519,4821,0
VTL,D,20140618,000000,14.519,14.519,14.378,14.519,3372,0
