<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS,D,20010524,000000,3.897,3.9392,3.7115,3.8548,63087,0
WAS,D,20010525,000000,3.8801,3.8801,3.7367,3.7619,6481,0
WAS,D,20010528,000000,3.7705,3.7705,3.644,3.7536,12536,0
WAS,D,20010529,000000,3.6861,3.7367,3.5848,3.6861,13252,0
WAS,D,20010530,000000,3.6776,3.6776,3.5174,3.6018,2494,0
WAS,D,20010531,000000,3.5595,3.5595,3.4751,3.4751,12187,0
WAS,D,20010601,000000,3.4669,3.5174,3.4246,3.4246,9604,0
WAS,D,20010604,000000,3.4751,3.4751,3.2221,3.2221,3961,0
WAS,D,20010605,000000,3.1716,3.18,2.7499,2.8848,21708,0
WAS,D,20010606,000000,2.8512,2.8763,2.8257,2.8679,3370,0
WAS,D,20010607,000000,2.8004,2.8595,2.7667,2.8425,1629,0
WAS,D,20010608,000000,2.8257,2.8425,2.7667,2.8425,1222,0
WAS,D,20010612,000000,2.6824,2.7921,2.5979,2.5979,12083,0
WAS,D,20010613,000000,2.6149,2.6149,2.5811,2.5811,3723,0
WAS,D,20010615,000000,2.5979,2.6318,2.5137,2.5137,8306,0
WAS,D,20010618,000000,2.5137,2.5137,2.345,2.345,4562,0
WAS,D,20010619,000000,2.3281,2.3281,1.9231,2.0413,24913,0
WAS,D,20010620,000000,2.0161,2.0161,1.8895,1.8895,12388,0
WAS,D,20010621,000000,1.8895,1.9231,1.8726,1.9231,3107,0
WAS,D,20010622,000000,1.8979,1.94,1.881,1.881,16292,0
WAS,D,20010625,000000,1.94,2.033,1.9148,2.033,58278,0
WAS,D,20010626,000000,2.0834,2.0834,2.0075,2.0075,2170,0
WAS,D,20010627,000000,2.0075,2.0075,2.0075,2.0075,209,0
WAS,D,20010628,000000,1.9231,1.9231,1.8473,1.8473,1171,0
WAS,D,20010629,000000,1.8473,1.9317,1.8473,1.9231,5436,0
WAS,D,20010702,000000,1.8895,1.8895,1.8895,1.8895,1434,0
WAS,D,20010704,000000,1.8473,1.9231,1.8473,1.9231,246,0
WAS,D,20010705,000000,2.0413,2.0919,2.0413,2.0497,2292,0
WAS,D,20010710,000000,2.0497,2.0497,2.0075,2.0075,3938,0
WAS,D,20010711,000000,2.0497,2.0497,2.0497,2.0497,835,0
WAS,D,20010713,000000,1.881,1.881,1.881,1.881,2779,0
WAS,D,20010716,000000,2.0834,2.1426,2.0834,2.1426,567,0
WAS,D,20010717,000000,2.1341,2.1763,2.1341,2.1763,729,0
WAS,D,20010718,000000,2.1763,2.1763,2.1763,2.1763,1,0
WAS,D,20010719,000000,2.1763,2.1763,2.0075,2.1763,28,0
WAS,D,20010723,000000,2.0497,2.0497,2.0497,2.0497,3818,0
WAS,D,20010724,000000,2.1087,2.1087,2.1087,2.1087,1,0
WAS,D,20010725,000000,2.1004,2.1004,2.0919,2.0919,6204,0
WAS,D,20010726,000000,2.1004,2.1004,2.1004,2.1004,40,0
WAS,D,20010727,000000,2.0075,2.0075,2.0075,2.0075,7135,0
WAS,D,20010730,000000,1.9907,1.9907,1.9907,1.9907,1241,0
WAS,D,20010731,000000,1.9231,1.9991,1.881,1.9991,9811,0
WAS,D,20010802,000000,1.8979,1.8979,1.8305,1.8305,3885,0
WAS,D,20010803,000000,1.9231,1.9231,1.9231,1.9231,37,0
WAS,D,20010807,000000,1.7206,1.8473,1.7206,1.8473,2391,0
WAS,D,20010809,000000,1.6785,1.6785,1.6785,1.6785,11338,0
WAS,D,20010810,000000,1.7629,1.8473,1.7629,1.8473,2088,0
WAS,D,20010813,000000,1.881,1.881,1.434,1.6616,30257,0
WAS,D,20010814,000000,1.5267,1.5437,1.5014,1.5437,10145,0
WAS,D,20010816,000000,1.5437,1.5437,1.4256,1.5352,8970,0
WAS,D,20010817,000000,1.6111,1.6111,1.5267,1.5267,1508,0
