<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAX,D,20080603,000000,6.0197,6.0197,4.6208,5.7545,25362,0
WAX,D,20080604,000000,5.9714,5.9714,4.6418,4.9757,2158,0
WAX,D,20080605,000000,4.4299,4.7214,3.9848,4.1067,4073,0
WAX,D,20080606,000000,4.1067,4.3716,4.1067,4.3716,1089,0
WAX,D,20080609,000000,4.3716,4.3716,4.1544,4.2551,627,0
WAX,D,20080610,000000,4.2605,4.2922,4.2605,4.2922,348,0
WAX,D,20080611,000000,4.1755,4.1755,4.0008,4.096,1288,0
WAX,D,20080612,000000,4.2551,4.2551,4.1861,4.2444,2697,0
WAX,D,20080613,000000,4.287,4.3664,4.287,4.324,1304,0
WAX,D,20080616,000000,4.3452,4.3452,4.2975,4.2975,814,0
WAX,D,20080617,000000,4.324,4.324,4.3187,4.3187,1046,0
WAX,D,20080618,000000,4.324,4.324,4.324,4.324,22,0
WAX,D,20080619,000000,4.2975,4.3346,4.2975,4.3346,370,0
WAX,D,20080620,000000,4.324,4.324,4.1702,4.308,1434,0
WAX,D,20080623,000000,4.3769,4.5571,4.2656,4.451,1858,0
WAX,D,20080624,000000,4.4724,4.4724,4.4724,4.4724,45,0
WAX,D,20080625,000000,4.504,4.5147,4.504,4.5147,254,0
WAX,D,20080626,000000,4.5518,4.891,4.4724,4.891,1650,0
WAX,D,20080627,000000,4.6683,4.8485,4.6631,4.8485,1489,0
WAX,D,20080630,000000,4.8485,4.8485,4.5995,4.769,977,0
WAX,D,20080701,000000,4.5995,4.5995,4.5571,4.5571,1395,0
WAX,D,20080702,000000,4.3875,4.4086,4.3875,4.4086,463,0
WAX,D,20080703,000000,4.5623,4.6049,4.4299,4.5147,766,0
WAX,D,20080707,000000,4.5147,4.5147,4.5147,4.5147,22,0
WAX,D,20080708,000000,4.2975,4.2975,4.2975,4.2975,22,0
WAX,D,20080709,000000,4.2975,4.2975,4.2975,4.2975,22,0
WAX,D,20080710,000000,4.2975,4.2975,4.2975,4.2975,22,0
WAX,D,20080711,000000,4.2975,4.2975,4.2975,4.2975,22,0
WAX,D,20080714,000000,4.2975,4.2975,4.2975,4.2975,22,0
WAX,D,20080715,000000,4.2127,4.2127,4.2127,4.2127,45,0
WAX,D,20080716,000000,4.2127,4.2127,4.2127,4.2127,22,0
WAX,D,20080717,000000,4.2127,4.2127,4.2127,4.2127,22,0
WAX,D,20080718,000000,4.2127,4.2127,4.128,4.128,602,0
WAX,D,20080721,000000,4.1702,4.1702,4.1702,4.1702,22,0
WAX,D,20080722,000000,4.2075,4.2127,4.2075,4.2127,843,0
WAX,D,20080723,000000,4.2127,4.2127,4.2127,4.2127,22,0
WAX,D,20080724,000000,4.2127,4.2127,4.2127,4.2127,22,0
