<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIK,D,19970220,000000,7.16,7.16,7.16,7.16,184839,0
WIK,D,19970221,000000,7.88,7.88,7.88,7.88,62949,0
WIK,D,19970224,000000,8.66,8.66,8.66,8.66,0,0
WIK,D,19970225,000000,9.55,9.55,9.55,9.55,263650,0
WIK,D,19970226,000000,10.27,10.27,10.27,10.27,522214,0
WIK,D,19970227,000000,9.25,9.25,9.25,9.25,99330,0
WIK,D,19970228,000000,8.36,8.36,8.36,8.36,134025,0
WIK,D,19970303,000000,7.64,7.64,7.64,7.64,241152,0
WIK,D,19970304,000000,7.88,7.88,7.88,7.88,156996,0
WIK,D,19970305,000000,7.88,7.88,7.88,7.88,117588,0
WIK,D,19970306,000000,7.88,7.88,7.88,7.88,37187,0
WIK,D,19970307,000000,8.18,8.18,8.18,8.18,170341,0
WIK,D,19970310,000000,8.42,8.42,8.42,8.42,48001,0
WIK,D,19970311,000000,9.25,9.25,9.25,9.25,114246,0
WIK,D,19970312,000000,9.19,9.19,9.19,9.19,139570,0
WIK,D,19970313,000000,8.48,8.48,8.48,8.48,75330,0
WIK,D,19970314,000000,8,8,8,8,88642,0
WIK,D,19970317,000000,7.88,7.88,7.88,7.88,74056,0
WIK,D,19970318,000000,8.36,8.36,8.36,8.36,90286,0
WIK,D,19970319,000000,7.76,7.76,7.76,7.76,44010,0
WIK,D,19970320,000000,7.94,7.94,7.94,7.94,44592,0
WIK,D,19970321,000000,7.88,7.88,7.88,7.88,45564,0
WIK,D,19970324,000000,7.94,7.94,7.94,7.94,42451,0
WIK,D,19970325,000000,8.18,8.18,8.18,8.18,79546,0
WIK,D,19970326,000000,8.48,8.48,8.48,8.48,73206,0
WIK,D,19970327,000000,8.83,8.83,8.83,8.83,98874,0
WIK,D,19970401,000000,8.18,8.18,8.18,8.18,65300,0
WIK,D,19970402,000000,7.76,7.76,7.76,7.76,79836,0
WIK,D,19970403,000000,7.88,7.88,7.88,7.88,101087,0
WIK,D,19970404,000000,7.88,7.88,7.88,7.88,45057,0
WIK,D,19970407,000000,8.36,8.36,8.36,8.36,125287,0
WIK,D,19970408,000000,7.88,7.88,7.88,7.88,53878,0
WIK,D,19970409,000000,8.18,8.18,8.18,8.18,58391,0
WIK,D,19970410,000000,8.12,8.12,8.12,8.12,103413,0
WIK,D,19970411,000000,8.24,8.24,8.24,8.24,41336,0
WIK,D,19970414,000000,8.12,8.12,8.12,8.12,67074,0
WIK,D,19970415,000000,8.36,8.36,8.36,8.36,91245,0
WIK,D,19970416,000000,8.6,8.6,8.6,8.6,139083,0
WIK,D,19970417,000000,8.77,8.77,8.77,8.77,104106,0
WIK,D,19970418,000000,8.6,8.6,8.6,8.6,77717,0
WIK,D,19970421,000000,8.83,8.83,8.83,8.83,95140,0
WIK,D,19970422,000000,8.77,8.77,8.77,8.77,56073,0
WIK,D,19970423,000000,8.77,8.77,8.77,8.77,103539,0
WIK,D,19970424,000000,8.83,8.83,8.83,8.83,62995,0
WIK,D,19970425,000000,8.71,8.71,8.71,8.71,42573,0
WIK,D,19970428,000000,8.6,8.6,8.6,8.6,42406,0
WIK,D,19970429,000000,8.36,8.36,8.36,8.36,72097,0
WIK,D,19970430,000000,8.83,8.83,8.83,8.83,111101,0
WIK,D,19970505,000000,9.31,9.31,9.31,9.31,90798,0
WIK,D,19970506,000000,9.31,9.31,9.31,9.31,51602,0
WIK,D,19970507,000000,8.6,8.6,8.6,8.6,80333,0
WIK,D,19970508,000000,8.6,8.6,8.6,8.6,45648,0
