<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLT,D,20071128,000000,5.1255,5.8088,5.1186,5.7952,188168,0
WLT,D,20071129,000000,6.3556,6.3556,5.8225,6.0138,244656,0
WLT,D,20071130,000000,6.0138,6.0138,5.6105,5.9115,108020,0
WLT,D,20071203,000000,6.0138,6.0138,5.7404,5.843,104068,0
WLT,D,20071204,000000,6.0138,6.0138,5.6038,5.8772,49037,0
WLT,D,20071205,000000,5.9045,5.9045,5.6038,5.7131,159420,0
WLT,D,20071206,000000,5.7131,5.72,5.5696,5.5766,58298,0
WLT,D,20071207,000000,5.6038,5.6105,5.5696,5.5766,199756,0
WLT,D,20071210,000000,5.5423,5.8022,5.5354,5.7474,194883,0
WLT,D,20071211,000000,5.8772,5.8772,5.6722,5.6722,29099,0
WLT,D,20071212,000000,5.5354,5.6722,5.5354,5.6038,51657,0
WLT,D,20071213,000000,5.5423,5.6038,5.5423,5.6038,31264,0
WLT,D,20071214,000000,5.6038,5.6038,5.5902,5.6038,83364,0
WLT,D,20071217,000000,5.6038,5.6038,5.5354,5.597,50599,0
WLT,D,20071218,000000,5.5354,5.5354,5.3305,5.3305,8354,0
WLT,D,20071219,000000,5.351,5.5354,5.351,5.5354,12019,0
WLT,D,20071220,000000,5.3167,5.6038,5.3167,5.6038,11139,0
WLT,D,20071221,000000,5.6038,5.6038,5.4671,5.4671,79593,0
WLT,D,20071227,000000,5.4671,5.4671,4.9887,5.0569,36046,0
WLT,D,20071228,000000,5.1255,5.4671,5.1255,5.4671,7613,0
WLT,D,20080102,000000,5.7269,5.7269,5.4671,5.4807,31155,0
WLT,D,20080103,000000,5.5013,5.5013,5.3989,5.3989,912,0
WLT,D,20080104,000000,5.4602,5.4671,5.3989,5.3989,8087,0
WLT,D,20080107,000000,5.3784,5.3784,5.1255,5.1322,2706,0
WLT,D,20080108,000000,5.1597,5.262,5.1255,5.262,6911,0
WLT,D,20080109,000000,5.1255,5.1938,4.9614,5.1255,6704,0
WLT,D,20080110,000000,4.9682,4.9682,4.9001,4.9682,11836,0
WLT,D,20080111,000000,4.9477,4.9477,4.8179,4.8179,3817,0
WLT,D,20080114,000000,5.1117,5.1117,4.7837,4.8522,34118,0
WLT,D,20080115,000000,5.0366,5.0366,4.8522,5.0366,9043,0
WLT,D,20080116,000000,4.8522,4.9205,4.6607,4.9205,292110,0
WLT,D,20080117,000000,4.8658,5.1255,4.7837,4.9614,150241,0
WLT,D,20080118,000000,4.8862,5.0569,4.8862,5.0569,19594,0
WLT,D,20080121,000000,5.1255,5.1255,4.7701,4.7837,22911,0
WLT,D,20080122,000000,4.7837,4.8522,4.7222,4.8522,24755,0
WLT,D,20080123,000000,4.8522,4.9546,4.7428,4.7701,20354,0
WLT,D,20080124,000000,4.9477,4.9477,4.8314,4.8314,2821,0
WLT,D,20080125,000000,4.8452,5.0569,4.8452,5.0569,51992,0
WLT,D,20080128,000000,4.9341,5.262,4.9341,5.1938,1002093,0
WLT,D,20080129,000000,5.3646,5.6244,5.3305,5.433,6897,0
WLT,D,20080130,000000,5.515,5.515,5.262,5.262,9884,0
WLT,D,20080131,000000,5.4671,5.5219,5.4671,5.4876,54997,0
WLT,D,20080201,000000,5.5902,5.5902,5.4126,5.4602,6644,0
WLT,D,20080204,000000,5.4602,5.6722,5.4602,5.638,32633,0
WLT,D,20080205,000000,5.5354,5.6722,5.4671,5.4807,19239,0
WLT,D,20080206,000000,5.3373,5.6653,5.3373,5.6653,11897,0
WLT,D,20080207,000000,5.679,5.679,5.6722,5.6722,1716,0
WLT,D,20080208,000000,5.6722,5.7336,5.638,5.7336,1389,0
WLT,D,20080211,000000,5.7747,5.8567,5.7404,5.843,7581,0
WLT,D,20080212,000000,5.8499,6.5538,5.8499,6.5538,37236,0
WLT,D,20080213,000000,6.7178,7.3807,6.7178,7.0732,66432,0
WLT,D,20080214,000000,7.1756,7.3807,6.7655,6.8272,115398,0
WLT,D,20080215,000000,6.7792,7.7907,6.7792,7.654,387329,0
WLT,D,20080218,000000,8.194,8.6108,7.9616,8.0982,176223,0
WLT,D,20080219,000000,8.0982,8.1321,7.7701,7.9273,67536,0
WLT,D,20080220,000000,7.7224,7.8591,7.613,7.6197,77242,0
WLT,D,20080221,000000,7.8591,7.9273,7.6197,7.7771,24473,0
WLT,D,20080222,000000,7.8454,7.8454,7.456,7.6197,12230,0
WLT,D,20080225,000000,7.7839,7.7839,7.0595,7.1756,61645,0
WLT,D,20080226,000000,7.244,7.5172,7.0732,7.0732,435756,0
WLT,D,20080227,000000,7.0048,7.3807,7.0048,7.2713,21473,0
WLT,D,20080228,000000,7.3669,7.3669,6.9707,7.0048,164402,0
WLT,D,20080229,000000,6.9022,6.9979,6.8132,6.8341,104819,0
WLT,D,20080303,000000,6.6699,6.6699,6.2941,6.4718,76532,0
WLT,D,20080304,000000,6.3215,6.4718,6.3215,6.3283,16273,0
WLT,D,20080305,000000,6.3283,6.786,6.3283,6.629,32815,0
WLT,D,20080306,000000,6.7178,6.8203,6.5947,6.7381,17208,0
WLT,D,20080307,000000,6.4921,6.9637,6.4376,6.8341,22664,0
WLT,D,20080310,000000,6.7997,7.1756,6.6016,6.8341,42979,0
WLT,D,20080311,000000,6.8476,6.8476,6.7724,6.786,22941,0
WLT,D,20080312,000000,6.9297,6.9297,6.7997,6.8341,26598,0
WLT,D,20080313,000000,6.7929,6.8341,6.7314,6.7314,8063,0
WLT,D,20080314,000000,6.8341,7.0048,6.6768,6.786,45600,0
WLT,D,20080317,000000,6.4649,6.6973,6.4649,6.6973,6614,0
WLT,D,20080318,000000,6.6904,6.7724,6.4921,6.6837,17046,0
WLT,D,20080319,000000,6.7655,6.7655,6.5264,6.7314,9445,0
WLT,D,20080320,000000,6.5469,6.6768,6.5469,6.6768,6448,0
WLT,D,20080325,000000,6.8885,6.8885,6.7246,6.7929,13560,0
WLT,D,20080326,000000,6.7929,6.7929,6.6973,6.6973,11043,0
WLT,D,20080327,000000,6.6973,6.8341,6.6973,6.8132,31478,0
WLT,D,20080328,000000,6.8341,6.8681,6.6973,6.8545,42796,0
WLT,D,20080331,000000,6.8545,6.8545,6.629,6.8272,10697,0
WLT,D,20080401,000000,6.8272,6.8272,6.6973,6.7111,9957,0
