<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL,D,20150507,000000,33.249,33.957,32.636,33.014,472765,0
WPL,D,20150508,000000,33.561,33.58,33.061,33.136,25261,0
WPL,D,20150511,000000,33.485,33.485,33.014,33.014,90846,0
WPL,D,20150512,000000,33.108,33.108,32.919,32.919,103635,0
WPL,D,20150513,000000,32.835,32.966,32.353,32.353,3329,0
WPL,D,20150514,000000,32.448,32.872,32.118,32.872,2770,0
WPL,D,20150515,000000,32.542,33.201,32.542,33.201,3198,0
WPL,D,20150518,000000,33.344,33.485,32.844,32.844,14446,0
WPL,D,20150519,000000,32.731,32.872,32.731,32.825,61414,0
WPL,D,20150520,000000,32.778,33.391,32.778,32.825,2585,0
WPL,D,20150521,000000,33.485,33.485,33.022,33.022,535,0
WPL,D,20150522,000000,32.749,33.467,32.749,32.844,51953,0
WPL,D,20150525,000000,33.372,33.372,33.372,33.372,154,0
WPL,D,20150526,000000,32.872,32.872,32.872,32.872,66,0
WPL,D,20150527,000000,32.552,33.014,32.552,32.778,82140,0
WPL,D,20150528,000000,32.731,32.862,32.562,32.778,43361,0
WPL,D,20150529,000000,32.458,32.919,32.458,32.825,13947,0
WPL,D,20150601,000000,32.731,32.872,32.589,32.778,6375,0
WPL,D,20150602,000000,32.731,32.778,32.542,32.778,27225,0
WPL,D,20150603,000000,32.542,32.825,32.542,32.711,16114,0
WPL,D,20150605,000000,32.684,32.684,32.636,32.636,34642,0
WPL,D,20150608,000000,32.617,32.825,32.617,32.825,5852,0
WPL,D,20150609,000000,32.636,32.636,32.636,32.636,35449,0
WPL,D,20150610,000000,32.636,32.731,32.562,32.599,13622,0
WPL,D,20150611,000000,32.731,32.731,32.562,32.589,52790,0
WPL,D,20150612,000000,32.684,32.684,32.589,32.589,8141,0
WPL,D,20150615,000000,32.825,32.825,32.636,32.636,3509,0
WPL,D,20150616,000000,32.636,32.778,32.522,32.778,22716,0
