<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTB,D,20160506,000000,9.617,10.041,9.591,10.033,1727775,0
XTB,D,20160509,000000,10.033,10.049,9.849,9.991,371830,0
XTB,D,20160510,000000,9.966,9.991,9.841,9.941,37930,0
XTB,D,20160511,000000,9.89,10.033,9.741,10.033,207721,0
XTB,D,20160512,000000,10.033,10.232,9.991,10.116,382613,0
XTB,D,20160513,000000,10.166,10.324,10.082,10.324,170745,0
XTB,D,20160516,000000,10.324,10.99,10.24,10.823,159089,0
XTB,D,20160517,000000,10.94,10.94,10.783,10.823,487097,0
XTB,D,20160518,000000,10.915,11.406,10.915,11.306,148247,0
XTB,D,20160519,000000,11.074,11.573,10.99,11.573,64499,0
XTB,D,20160520,000000,11.573,11.906,11.365,11.906,66311,0
XTB,D,20160523,000000,11.864,11.864,11.323,11.657,44371,0
XTB,D,20160524,000000,11.531,12.056,10.699,11.822,116433,0
XTB,D,20160525,000000,11.822,12.489,11.531,12.489,38533,0
XTB,D,20160527,000000,12.489,12.489,12.072,12.405,5731,0
XTB,D,20160530,000000,12.239,12.822,12.081,12.397,79644,0
XTB,D,20160531,000000,12.471,12.471,12.005,12.231,51296,0
XTB,D,20160601,000000,12.231,12.239,11.573,11.99,21819,0
XTB,D,20160602,000000,11.948,11.948,11.589,11.589,6909,0
XTB,D,20160603,000000,11.489,11.657,11.099,11.657,10230,0
XTB,D,20160606,000000,11.948,11.948,11.365,11.657,2945,0
XTB,D,20160607,000000,11.506,11.657,11.347,11.657,62798,0
XTB,D,20160608,000000,11.657,11.657,11.365,11.365,1825,0
XTB,D,20160609,000000,11.256,11.423,11.256,11.406,5880,0
XTB,D,20160610,000000,11.323,11.489,11.224,11.489,17521,0
XTB,D,20160613,000000,11.489,11.489,11.239,11.406,13377,0
XTB,D,20160614,000000,11.239,11.406,11.123,11.406,20300,0
XTB,D,20160615,000000,11.214,11.315,11.214,11.315,68214,0
XTB,D,20160616,000000,11.156,11.239,11.123,11.232,26651,0
XTB,D,20160617,000000,11.123,11.406,11.123,11.406,26076,0
XTB,D,20160620,000000,11.249,11.447,11.239,11.447,20541,0
XTB,D,20160621,000000,11.489,11.573,11.249,11.531,25087,0
XTB,D,20160622,000000,11.531,11.814,11.531,11.657,30560,0
XTB,D,20160623,000000,11.657,11.822,11.498,11.822,9912,0
XTB,D,20160624,000000,11.239,12.072,11.099,11.98,132493,0
XTB,D,20160627,000000,11.98,12.489,11.657,12.489,83383,0
