<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YOL,D,20110729,000000,2.5973,3.2364,2.5973,2.9215,303795,0
YOL,D,20110801,000000,2.9671,3.2182,2.9671,3.0539,76541,0
YOL,D,20110802,000000,2.99,2.9945,2.9716,2.99,8547,0
YOL,D,20110803,000000,2.9716,3.0128,2.7845,2.9488,21256,0
YOL,D,20110804,000000,2.8393,2.8712,2.7389,2.7663,19926,0
YOL,D,20110805,000000,2.5152,2.7572,2.4193,2.5699,14046,0
YOL,D,20110808,000000,2.4878,2.8302,2.4878,2.7389,23207,0
YOL,D,20110809,000000,2.6933,2.7389,2.5791,2.6476,12217,0
YOL,D,20110810,000000,2.6841,2.7434,2.5106,2.643,46137,0
YOL,D,20110811,000000,2.5152,2.7115,2.5152,2.7115,4070,0
YOL,D,20110812,000000,2.602,2.7389,2.602,2.716,12582,0
YOL,D,20110816,000000,2.6476,2.7069,2.5197,2.7069,3551,0
YOL,D,20110817,000000,2.6703,2.7024,2.6476,2.7024,1146,0
YOL,D,20110818,000000,2.602,2.643,2.5197,2.643,4041,0
YOL,D,20110819,000000,2.5197,2.6385,2.5197,2.6385,2693,0
YOL,D,20110822,000000,2.643,2.6887,2.643,2.6887,986,0
YOL,D,20110823,000000,2.5197,2.6795,2.5197,2.6795,375,0
YOL,D,20110825,000000,2.5563,2.675,2.5563,2.675,1218,0
YOL,D,20110826,000000,2.5563,2.5609,2.5563,2.5609,669,0
YOL,D,20110829,000000,2.6703,2.6703,2.5563,2.602,1581,0
YOL,D,20110830,000000,2.5517,2.6658,2.5517,2.5563,2307,0
YOL,D,20110831,000000,2.643,2.6703,2.5973,2.6703,6024,0
YOL,D,20110901,000000,2.6703,2.6703,2.6703,2.6703,118,0
YOL,D,20110902,000000,2.643,2.643,2.6248,2.6248,775,0
YOL,D,20110906,000000,2.602,2.602,2.602,2.602,221,0
YOL,D,20110907,000000,2.602,2.6521,2.602,2.6521,2558,0
YOL,D,20110908,000000,2.5471,2.6476,2.5471,2.6476,467,0
YOL,D,20110909,000000,2.5563,2.6476,2.5563,2.6476,469,0
YOL,D,20110912,000000,2.5471,2.6385,2.5106,2.6385,3071,0
YOL,D,20110913,000000,2.5244,2.5973,2.5244,2.5244,976,0
YOL,D,20110914,000000,2.6248,2.6248,2.6248,2.6248,657,0
YOL,D,20110916,000000,2.5106,2.5563,2.465,2.506,12042,0
YOL,D,20110919,000000,2.4193,2.4422,2.4193,2.4422,1559,0
