<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZST,D,19981217,000000,30,30,24,24,137,0
ZST,D,19981218,000000,30,30,25.5,30,704,0
ZST,D,19981221,000000,25.5,25.5,25.5,25.5,24,0
ZST,D,19981222,000000,25.5,25.5,24,25.5,418,0
ZST,D,19981223,000000,24,25.5,22.5,25.5,451,0
ZST,D,19981228,000000,24,25.5,24,25.5,12,0
ZST,D,19981229,000000,26.4,27,24,24,117,0
ZST,D,19981230,000000,26.1,26.1,26.1,26.1,7,0
ZST,D,19981231,000000,26.1,26.1,26.1,26.1,7,0
ZST,D,19990104,000000,24.9,25.5,24.6,24.6,50,0
ZST,D,19990105,000000,24,24,24,24,33,0
ZST,D,19990106,000000,24,24,24,24,42,0
ZST,D,19990107,000000,22.5,22.5,21,21,457,0
ZST,D,19990108,000000,22.5,22.5,21,21,217,0
ZST,D,19990111,000000,22.5,22.5,21.3,21.3,27,0
ZST,D,19990112,000000,20.1,21,19.5,19.5,217,0
ZST,D,19990114,000000,21.3,21.3,21.3,21.3,7,0
ZST,D,19990118,000000,19.5,19.5,19.5,19.5,7,0
ZST,D,19990119,000000,19.5,20.1,18,18,105,0
ZST,D,19990120,000000,19.5,19.5,18.9,18.9,17,0
ZST,D,19990121,000000,18.3,18.6,18,18,23,0
ZST,D,19990122,000000,16.5,16.5,16.5,16.5,7,0
ZST,D,19990126,000000,15.9,15.9,15.6,15.6,13,0
ZST,D,19990127,000000,12,12,7.5,10.5,402,0
ZST,D,19990128,000000,10.8,13.5,8.7,13.5,341,0
ZST,D,19990129,000000,12,13.5,12,12,127,0
ZST,D,19990201,000000,11.4,12,11.4,11.4,83,0
ZST,D,19990202,000000,13.5,15,13.5,14.4,103,0
ZST,D,19990203,000000,14.4,15,14.4,15,137,0
ZST,D,19990204,000000,13.5,13.5,13.5,13.5,100,0
ZST,D,19990205,000000,14.4,16.5,14.1,15,142,0
ZST,D,19990208,000000,16.5,16.5,15,15,117,0
ZST,D,19990209,000000,16.5,16.5,16.5,16.5,17,0
ZST,D,19990210,000000,15.3,15.3,15.3,15.3,15,0
ZST,D,19990212,000000,16.5,16.5,15.6,15.6,50,0
ZST,D,19990215,000000,14.7,15.6,14.4,15,777,0
ZST,D,19990216,000000,14.7,14.7,14.7,14.7,67,0
ZST,D,19990217,000000,16.5,16.5,15.6,15.6,27,0
ZST,D,19990218,000000,15.3,15.3,15,15,78,0
ZST,D,19990219,000000,15,15.3,15,15,493,0
ZST,D,19990222,000000,15,15,15,15,560,0
ZST,D,19990223,000000,15.3,15.3,15.3,15.3,10,0
ZST,D,19990224,000000,15,15.3,15,15,205,0
ZST,D,19990225,000000,15.3,15.3,15.3,15.3,400,0
ZST,D,19990301,000000,15.9,15.9,15.3,15.3,409,0
ZST,D,19990302,000000,15.3,15.9,15.3,15.9,296,0
ZST,D,19990304,000000,15.3,15.3,15.3,15.3,160,0
ZST,D,19990305,000000,15.6,15.6,15.3,15.3,183,0
ZST,D,19990308,000000,15.3,15.9,15.3,15.9,169,0
ZST,D,19990309,000000,15.3,15.6,15.3,15.3,264,0
ZST,D,19990310,000000,15.3,15.3,15,15,791,0
ZST,D,19990312,000000,15.3,15.3,12.9,12.9,123,0
ZST,D,19990315,000000,15,15,15,15,67,0
ZST,D,19990317,000000,15,15,15,15,13,0
ZST,D,19990318,000000,14.7,14.7,14.7,14.7,150,0
ZST,D,19990319,000000,15,15,13.8,13.8,248,0
ZST,D,19990322,000000,15.3,15.3,12.3,13.8,451,0
ZST,D,19990323,000000,14.7,14.7,13.8,13.8,284,0
ZST,D,19990324,000000,14.7,15,14.7,15,359,0
ZST,D,19990325,000000,14.1,14.1,14.1,14.1,309,0
ZST,D,19990326,000000,15,15,15,15,483,0
ZST,D,19990329,000000,13.5,13.8,13.5,13.8,284,0
ZST,D,19990330,000000,14.1,15,14.1,15,733,0
ZST,D,19990331,000000,15,15,13.5,14.4,493,0
ZST,D,19990401,000000,15,15,15,15,107,0
ZST,D,19990406,000000,15,15,15,15,403,0
ZST,D,19990407,000000,14.4,14.7,14.4,14.7,83,0
ZST,D,19990408,000000,14.7,15,14.7,15,528,0
ZST,D,19990409,000000,15.3,15.3,15.3,15.3,183,0
ZST,D,19990412,000000,15.6,15.6,15.6,15.6,98,0
ZST,D,19990413,000000,15.3,15.3,15.3,15.3,311,0
ZST,D,19990414,000000,15.6,15.6,15.3,15.3,183,0
ZST,D,19990415,000000,15.3,15.3,15.3,15.3,382,0
ZST,D,19990416,000000,15,15,14.4,14.4,68,0
ZST,D,19990419,000000,15,15,15,15,33,0
ZST,D,19990421,000000,14.1,14.1,14.1,14.1,17,0
ZST,D,19990422,000000,14.4,14.4,14.4,14.4,33,0
ZST,D,19990423,000000,15.3,15.3,15.3,15.3,17,0
ZST,D,19990426,000000,15.3,15.9,15.3,15.6,455,0
ZST,D,19990427,000000,15.9,15.9,15.9,15.9,7,0
ZST,D,19990428,000000,14.7,15.9,14.7,15.9,305,0
ZST,D,19990429,000000,15.6,15.9,15.6,15.6,131,0
ZST,D,19990430,000000,16.5,18,16.2,16.2,656,0
ZST,D,19990505,000000,16.2,16.2,16.2,16.2,33,0
ZST,D,19990506,000000,15.9,18.6,15.9,18,311,0
