<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUE,D,20101001,000000,15.197,15.197,14.427,14.61,212864,0
ZUE,D,20101004,000000,14.61,14.619,14.427,14.552,100084,0
ZUE,D,20101005,000000,14.485,14.523,14.446,14.504,121619,0
ZUE,D,20101006,000000,14.523,14.619,14.523,14.571,94124,0
ZUE,D,20101007,000000,14.581,14.581,14.543,14.543,461,0
ZUE,D,20101008,000000,14.543,14.581,14.543,14.571,847,0
ZUE,D,20101011,000000,14.543,14.571,14.523,14.543,31157,0
ZUE,D,20101012,000000,14.533,14.533,14.254,14.427,58576,0
ZUE,D,20101013,000000,14.427,14.427,14.36,14.427,8811,0
ZUE,D,20101014,000000,14.427,14.466,14.35,14.427,5512,0
ZUE,D,20101015,000000,14.427,14.427,14.379,14.427,2550,0
ZUE,D,20101018,000000,14.389,14.427,14.389,14.427,19304,0
ZUE,D,20101019,000000,14.427,14.427,14.292,14.292,296,0
ZUE,D,20101020,000000,14.283,14.283,14.283,14.283,5100,0
ZUE,D,20101021,000000,14.283,14.427,14.283,14.427,7887,0
ZUE,D,20101022,000000,14.427,14.427,14.187,14.427,377,0
ZUE,D,20101025,000000,14.187,14.504,14.187,14.504,4668,0
ZUE,D,20101026,000000,14.139,14.475,14.139,14.427,635,0
ZUE,D,20101027,000000,14.369,14.61,14.341,14.427,3672,0
ZUE,D,20101028,000000,14.514,14.514,14.504,14.514,152,0
ZUE,D,20101029,000000,14.523,14.571,14.485,14.485,2613,0
ZUE,D,20101102,000000,14.235,14.591,14.235,14.591,22260,0
ZUE,D,20101103,000000,14.61,14.61,14.427,14.562,7451,0
ZUE,D,20101104,000000,14.427,14.523,14.427,14.427,6103,0
ZUE,D,20101105,000000,14.504,14.504,14.427,14.485,79,0
ZUE,D,20101108,000000,14.427,14.504,14.379,14.417,2281,0
ZUE,D,20101109,000000,14.427,14.427,14.379,14.417,1738,0
ZUE,D,20101110,000000,14.417,14.417,14.417,14.417,461,0
