<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZWC,D,19910924,000000,3.4908,3.4908,3.4908,3.4908,93048,0
ZWC,D,19911001,000000,3.6511,3.6511,3.6511,3.6511,117357,0
ZWC,D,19911008,000000,4.0078,4.0078,4.0078,4.0078,98464,0
ZWC,D,19911015,000000,4.4045,4.4045,4.4045,4.4045,115276,0
ZWC,D,19911022,000000,4.8413,4.8413,4.8413,4.8413,64111,0
ZWC,D,19911029,000000,5.3187,5.3187,5.3187,5.3187,56746,0
ZWC,D,19911105,000000,5.8357,5.8357,5.8357,5.8357,111193,0
ZWC,D,19911112,000000,5.9517,5.9517,5.9517,5.9517,81172,0
ZWC,D,19911119,000000,5.3586,5.3586,5.3586,5.3586,0,0
ZWC,D,19911126,000000,4.8413,4.8413,4.8413,4.8413,24128,0
ZWC,D,19911203,000000,5.3187,5.3187,5.3187,5.3187,0,0
ZWC,D,19911210,000000,5.8357,5.8357,5.8357,5.8357,149151,0
ZWC,D,19911217,000000,5.2783,5.2783,5.2783,5.2783,82359,0
ZWC,D,19911231,000000,5.7956,5.7956,5.7956,5.7956,33073,0
ZWC,D,19920107,000000,5.9517,5.9517,5.9517,5.9517,44018,0
ZWC,D,19920109,000000,5.9517,5.9517,5.9517,5.9517,19564,0
ZWC,D,19920114,000000,5.5949,5.5949,5.5949,5.5949,45620,0
ZWC,D,19920116,000000,5.5546,5.5546,5.5546,5.5546,19314,0
ZWC,D,19920121,000000,5.7956,5.7956,5.7956,5.7956,12701,0
ZWC,D,19920123,000000,5.8758,5.8758,5.8758,5.8758,13356,0
ZWC,D,19920128,000000,5.7956,5.7956,5.7956,5.7956,14301,0
ZWC,D,19920130,000000,5.7554,5.7554,5.7554,5.7554,11452,0
ZWC,D,19920204,000000,5.7152,5.7152,5.7152,5.7152,17449,0
ZWC,D,19920206,000000,5.7956,5.7956,5.7956,5.7956,14070,0
ZWC,D,19920211,000000,5.6752,5.6752,5.6752,5.6752,15954,0
ZWC,D,19920213,000000,5.8758,5.8758,5.8758,5.8758,20822,0
ZWC,D,19920218,000000,5.9517,5.9517,5.9517,5.9517,34341,0
ZWC,D,19920220,000000,5.9517,5.9517,5.9517,5.9517,19885,0
ZWC,D,19920225,000000,5.9918,5.9918,5.9918,5.9918,43622,0
ZWC,D,19920227,000000,6.2324,6.2324,6.2324,6.2324,49289,0
ZWC,D,19920303,000000,6.825,6.825,6.825,6.825,27357,0
ZWC,D,19920305,000000,7.1462,7.1462,7.1462,7.1462,35889,0
ZWC,D,19920310,000000,7.3833,7.3833,7.3833,7.3833,36835,0
ZWC,D,19920312,000000,7.5027,7.5027,7.5027,7.5027,18725,0
ZWC,D,19920317,000000,6.825,6.825,6.825,6.825,26231,0
ZWC,D,19920319,000000,7.1462,7.1462,7.1462,7.1462,24306,0
ZWC,D,19920324,000000,7.1462,7.1462,7.1462,7.1462,20279,0
ZWC,D,19920326,000000,7.1821,7.1821,7.1821,7.1821,21459,0
ZWC,D,19920331,000000,7.066,7.066,7.066,7.066,19459,0
ZWC,D,19920402,000000,6.7495,6.7495,6.7495,6.7495,19333,0
ZWC,D,19920407,000000,6.7495,6.7495,6.7495,6.7495,19178,0
ZWC,D,19920409,000000,6.549,6.549,6.549,6.549,15938,0
ZWC,D,19920414,000000,6.549,6.549,6.549,6.549,19545,0
ZWC,D,19920416,000000,6.6695,6.6695,6.6695,6.6695,17417,0
ZWC,D,19920423,000000,6.4689,6.4689,6.4689,6.4689,28403,0
ZWC,D,19920428,000000,5.8357,5.8357,5.8357,5.8357,15087,0
ZWC,D,19920430,000000,5.5546,5.5546,5.5546,5.5546,23681,0
ZWC,D,19920505,000000,5.7554,5.7554,5.7554,5.7554,16861,0
ZWC,D,19920507,000000,5.9517,5.9517,5.9517,5.9517,10663,0
ZWC,D,19920512,000000,5.9517,5.9517,5.9517,5.9517,10187,0
ZWC,D,19920514,000000,5.7152,5.7152,5.7152,5.7152,8868,0
ZWC,D,19920519,000000,5.6352,5.6352,5.6352,5.6352,9102,0
ZWC,D,19920521,000000,5.0823,5.0823,5.0823,5.0823,12261,0
ZWC,D,19920526,000000,5.5546,5.5546,5.5546,5.5546,26166,0
ZWC,D,19920528,000000,5.7554,5.7554,5.7554,5.7554,13924,0
ZWC,D,19920602,000000,5.7152,5.7152,5.7152,5.7152,18282,0
ZWC,D,19920604,000000,5.519,5.519,5.519,5.519,17360,0
ZWC,D,19920609,000000,5.1224,5.1224,5.1224,5.1224,10508,0
ZWC,D,19920611,000000,5.1224,5.1224,5.1224,5.1224,11302,0
ZWC,D,19920616,000000,4.6454,4.6454,4.6454,4.6454,14223,0
ZWC,D,19920623,000000,4.2084,4.2084,4.2084,4.2084,21362,0
ZWC,D,19920625,000000,4.4045,4.4045,4.4045,4.4045,7491,0
ZWC,D,19920630,000000,4.8413,4.8413,4.8413,4.8413,0,0
ZWC,D,19920702,000000,5.3187,5.3187,5.3187,5.3187,0,0
ZWC,D,19920707,000000,5.8357,5.8357,5.8357,5.8357,28707,0
ZWC,D,19920709,000000,5.916,5.916,5.916,5.916,31756,0
ZWC,D,19920714,000000,5.479,5.479,5.479,5.479,20986,0
